Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std
RBF_LQP1,87.37,5.78,LINEAR_LQP1,85.78,5.92,OLD_LQP1,86.87,0.93
RBF_SQP,79.59,5.66,LINEAR_SQP,77.69,7.88,OLD_SQP,50.5,0.65
RBF_LQP2,62.13,3.82,LINEAR_LQP2,63.18,2.71,OLD_LQP2,57.25,1.03
