Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC
QP50_QP10,95.5,1.24,0.998,QP50_QP10,90.35,4.0,0.9789999999999999,QP50_QP10,100.0,0.0,1.0
QP50_QP16,96.89,2.22,0.999,QP50_QP16,97.5,2.76,0.991,QP50_QP16,100.0,0.0,1.0
QP50_QP20,95.07,2.23,1.0,QP50_QP20,96.37,2.2,1.0,QP50_QP20,100.0,0.0,1.0
QP50_QP24,94.45,2.78,0.999,QP50_QP24,94.8,2.3,1.0,QP50_QP24,100.0,0.0,1.0
QP50_QP27,92.13,3.83,1.0,QP50_QP27,87.96,2.02,1.0,QP50_QP27,100.0,0.0,1.0
QP50_QP32,88.17,4.03,0.999,QP50_QP32,83.89,3.2,1.0,QP50_QP32,100.0,0.0,1.0
QP50_QP39,88.85,3.59,0.999,QP50_QP39,88.3,3.56,1.0,QP50_QP39,100.0,0.0,1.0
QP50_QP42,86.41,2.68,0.9869999999999999,QP50_QP42,87.13,3.09,0.9949999999999999,QP50_QP42,100.0,0.0,1.0
QP50_QP45,82.18,4.59,0.96,QP50_QP45,82.65,3.52,0.958,QP50_QP45,98.5,1.83,0.9879999999999999
QP5_QP5,96.54,2.2,0.986,QP5_QP5,94.22,2.59,0.9949999999999999,QP5_QP5,50.0,0.0,0.202
QP10_QP10,91.0,1.94,0.9560000000000001,QP10_QP10,88.65,3.13,0.933,QP10_QP10,50.0,0.0,0.296
QP16_QP16,93.37,1.87,0.977,QP16_QP16,91.0,2.03,0.9810000000000001,QP16_QP16,50.33,0.7,0.292
QP20_QP20,91.09,2.06,0.968,QP20_QP20,91.65,2.95,0.975,QP20_QP20,50.83,1.18,0.357
QP24_QP24,87.96,3.8,0.9400000000000001,QP24_QP24,88.55,4.92,0.9470000000000001,QP24_QP24,52.0,1.05,0.43
QP27_QP27,82.82,4.25,0.9119999999999999,QP27_QP27,85.0,3.19,0.9189999999999999,QP27_QP27,51.0,0.86,0.344
QP32_QP32,81.44,5.18,0.889,QP32_QP32,81.07,4.29,0.9029999999999999,QP32_QP32,51.17,0.81,0.41600000000000004
QP39_QP39,85.41,3.62,0.932,QP39_QP39,84.67,5.15,0.9279999999999999,QP39_QP39,60.17,3.55,0.571
QP42_QP42,82.72,3.78,0.908,QP42_QP42,84.15,4.14,0.9109999999999999,QP42_QP42,62.67,2.11,0.594
QP45_QP45,80.32,5.28,0.9040000000000001,QP45_QP45,79.98,5.26,0.892,QP45_QP45,64.0,4.79,0.623
QP10_QP16,63.44,3.45,0.745,QP10_QP16,59.7,1.89,0.738,QP10_QP16,53.0,1.31,0.481
QP10_QP20,61.82,3.61,0.713,QP10_QP20,59.8,3.21,0.7070000000000001,QP10_QP20,53.5,1.99,0.48599999999999993
QP10_QP24,58.26,2.72,0.6759999999999999,QP10_QP24,55.52,1.68,0.6559999999999999,QP10_QP24,54.0,2.11,0.507
QP10_QP27,56.74,3.66,0.644,QP10_QP27,58.19,3.44,0.626,QP10_QP27,54.0,2.25,0.511
QP10_QP32,56.02,3.06,0.576,QP10_QP32,57.65,3.67,0.6,QP10_QP32,55.0,2.83,0.52
QP10_QP39,52.68,2.43,0.554,QP10_QP39,53.59,4.63,0.549,QP10_QP39,53.33,1.11,0.508
