Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF103,71.85,64.44,68.15,2.94,73.33,63.33,0.7,0.03,0.74,0.66
RBF104,67.04,51.85,59.44,3.73,63.33,51.67,0.63,0.03,0.68,0.59
RBF105,71.85,90.37,81.11,3.73,86.67,75.0,0.84,0.04,0.87,0.78
RBF106,67.04,64.44,65.74,5.08,73.33,60.0,0.68,0.04,0.72,0.61
LINEAR1,98.89,81.11,90.0,2.5,93.33,86.67,0.99,0.0,0.99,0.99
LINEAR2,98.89,95.19,97.04,1.11,98.33,95.0,1.0,0.0,1.0,1.0
LINEAR3,81.48,86.67,84.07,1.88,86.67,81.67,0.89,0.01,0.9,0.88
LINEAR4,98.89,99.26,99.07,0.88,100.0,98.33,1.0,0.0,1.0,1.0
LINEAR5,81.48,89.63,85.56,2.04,88.33,83.33,0.93,0.01,0.95,0.92
LINEAR6,100.0,72.96,86.48,2.56,90.0,83.33,0.98,0.0,0.99,0.98
LINEAR7,98.89,91.85,95.37,1.39,96.67,93.33,1.0,0.0,1.0,0.99
LINEAR8,81.48,99.63,90.56,0.83,91.67,90.0,0.98,0.01,0.99,0.97
LINEAR9,100.0,88.89,94.44,0.83,95.0,93.33,1.0,0.0,1.0,1.0
LINEAR10,91.11,91.48,91.3,3.61,95.0,86.67,0.98,0.01,0.99,0.96
LINEAR11,91.11,86.3,88.7,1.62,90.0,86.67,0.93,0.01,0.93,0.92
LINEAR12,98.89,93.7,96.3,0.73,96.67,95.0,0.99,0.01,1.0,0.98
LINEAR13,81.48,100.0,90.74,0.88,91.67,90.0,1.0,0.0,1.0,1.0
LINEAR14,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR15,91.11,100.0,95.56,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR16,91.11,100.0,95.56,0.83,96.67,95.0,0.99,0.0,0.99,0.98
LINEAR17,80.0,100.0,90.0,1.18,91.67,88.33,0.97,0.01,0.98,0.96
LINEAR18,98.89,96.67,97.78,2.2,100.0,95.0,1.0,0.0,1.0,0.99
LINEAR19,81.48,100.0,90.74,0.88,91.67,90.0,1.0,0.0,1.0,1.0
LINEAR20,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR21,91.11,100.0,95.56,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR22,91.11,100.0,95.56,0.83,96.67,95.0,0.99,0.0,0.99,0.99
LINEAR23,80.0,100.0,90.0,1.18,91.67,88.33,1.0,0.0,1.0,0.99
LINEAR24,98.89,97.78,98.33,1.44,100.0,96.67,1.0,0.0,1.0,0.99
LINEAR25,81.48,98.52,90.0,0.83,91.67,88.33,0.99,0.0,1.0,0.99
LINEAR26,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR27,91.11,100.0,95.56,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR28,91.11,100.0,95.56,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR29,80.0,100.0,90.0,1.18,91.67,88.33,1.0,0.0,1.0,1.0
LINEAR30,71.85,98.15,85.0,1.67,86.67,81.67,0.95,0.0,0.95,0.95
LINEAR31,98.89,98.89,98.89,1.44,100.0,96.67,1.0,0.0,1.0,1.0
LINEAR32,81.48,100.0,90.74,0.88,91.67,90.0,1.0,0.0,1.0,0.99
LINEAR33,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR34,91.11,100.0,95.56,0.83,96.67,95.0,1.0,0.0,1.0,1.0
