Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF,77.43,76.6,77.02,3.53,82.67,72.67
LINEAR,77.0,74.83,75.92,3.21,80.17,70.67
Only Ghost and RBF,77.73,75.43,76.58,3.94,82.5,70.33
Only Ghost and LINEAR,75.33,75.83,75.58,3.15,79.5,70.0
OLD,92.17,26.27,59.22,0.64,60.17,58.17
