Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC
QP50_QP10,96.59,2.37,0.99,QP50_QP10,97.3,1.85,0.983,QP50_QP10,100.0,0.0,1.0
QP50_QP16,94.72,2.71,0.9949999999999999,QP50_QP16,98.65,1.43,0.9890000000000001,QP50_QP16,100.0,0.0,1.0
QP50_QP20,88.48,3.97,0.999,QP50_QP20,98.11,1.31,1.0,QP50_QP20,100.0,0.0,1.0
QP50_QP24,91.11,3.46,1.0,QP50_QP24,96.39,1.45,1.0,QP50_QP24,100.0,0.0,1.0
QP50_QP27,89.19,4.27,1.0,QP50_QP27,84.26,5.54,0.994,QP50_QP27,100.0,0.0,1.0
QP50_QP32,86.24,3.83,1.0,QP50_QP32,65.43,5.77,1.0,QP50_QP32,100.0,0.0,1.0
QP50_QP39,88.37,4.96,0.99,QP50_QP39,74.52,6.55,0.9869999999999999,QP50_QP39,100.0,0.0,1.0
QP50_QP42,88.33,6.05,0.991,QP50_QP42,82.72,6.72,0.991,QP50_QP42,100.0,0.0,1.0
QP50_QP45,90.17,3.16,0.9890000000000001,QP50_QP45,88.37,4.61,0.974,QP50_QP45,98.33,2.22,0.992
QP5_QP5,96.59,1.96,0.9879999999999999,QP5_QP5,51.41,2.39,0.788,QP5_QP5,50.17,0.53,0.211
QP10_QP10,92.87,3.59,0.944,QP10_QP10,49.65,1.32,0.892,QP10_QP10,50.5,0.81,0.316
QP16_QP16,89.87,3.87,0.932,QP16_QP16,51.08,1.38,0.906,QP16_QP16,50.17,0.53,0.298
QP20_QP20,83.94,4.81,0.9209999999999999,QP20_QP20,51.76,2.6,0.841,QP20_QP20,50.5,0.81,0.352
QP24_QP24,84.57,4.21,0.9099999999999999,QP24_QP24,53.07,3.27,0.776,QP24_QP24,51.83,1.46,0.422
QP27_QP27,81.76,4.84,0.893,QP27_QP27,69.48,5.34,0.768,QP27_QP27,50.5,1.12,0.344
QP32_QP32,81.22,3.76,0.897,QP32_QP32,60.07,3.92,0.818,QP32_QP32,50.5,0.81,0.40800000000000003
QP39_QP39,85.2,5.29,0.9400000000000001,QP39_QP39,70.74,5.93,0.9119999999999999,QP39_QP39,60.0,3.33,0.5700000000000001
QP42_QP42,83.85,5.59,0.9289999999999999,QP42_QP42,77.56,7.54,0.898,QP42_QP42,62.0,2.33,0.595
QP45_QP45,87.15,3.71,0.9400000000000001,QP45_QP45,83.91,5.02,0.923,QP45_QP45,61.83,3.38,0.601
QP10_QP16,50.48,3.11,0.5429999999999999,QP10_QP16,50.69,0.78,0.542,QP10_QP16,53.83,1.58,0.484
QP10_QP20,50.74,3.32,0.541,QP10_QP20,49.61,1.57,0.528,QP10_QP20,52.83,1.93,0.487
QP10_QP24,52.83,3.6,0.522,QP10_QP24,49.56,1.52,0.49000000000000005,QP10_QP24,54.5,2.09,0.504
QP10_QP27,51.67,5.32,0.513,QP10_QP27,52.91,3.48,0.531,QP10_QP27,54.5,1.37,0.503
QP10_QP32,50.91,3.48,0.512,QP10_QP32,50.65,3.14,0.513,QP10_QP32,53.83,1.13,0.513
QP10_QP39,50.09,4.99,0.497,QP10_QP39,49.94,5.08,0.493,QP10_QP39,55.17,2.41,0.516
QP10_QP42,52.37,5.5,0.528,QP10_QP42,51.67,5.18,0.533,QP10_QP42,53.5,1.66,0.489
QP10_QP45,52.56,2.99,0.536,QP10_QP45,50.28,3.45,0.49700000000000005,QP10_QP45,56.5,2.42,0.524
QP15_QP16,63.09,3.68,0.754,QP15_QP16,50.3,0.79,0.701,QP15_QP16,50.0,0.0,0.363
QP15_QP20,52.37,2.92,0.5860000000000001,QP15_QP20,50.5,2.07,0.5700000000000001,QP15_QP20,53.17,2.28,0.483
QP15_QP24,51.87,2.87,0.521,QP15_QP24,49.39,1.94,0.49800000000000005,QP15_QP24,54.5,1.77,0.501
QP15_QP27,48.89,4.62,0.528,QP15_QP27,55.41,4.13,0.567,QP15_QP27,54.33,1.79,0.499
QP15_QP32,47.33,4.39,0.48900000000000005,QP15_QP32,50.06,3.32,0.495,QP15_QP32,55.5,1.77,0.527
QP15_QP39,53.56,4.96,0.546,QP15_QP39,53.04,7.17,0.546,QP15_QP39,55.17,2.0,0.513
QP15_QP42,54.18,4.97,0.522,QP15_QP42,50.91,4.68,0.495,QP15_QP42,54.67,2.33,0.49800000000000005
QP15_QP45,51.09,2.27,0.519,QP15_QP45,49.18,3.33,0.48200000000000004,QP15_QP45,55.33,2.19,0.515
QP20_QP24,51.72,4.33,0.541,QP20_QP24,50.13,2.45,0.526,QP20_QP24,54.17,1.96,0.485
QP20_QP27,52.74,5.29,0.577,QP20_QP27,60.24,3.49,0.621,QP20_QP27,55.67,0.86,0.532
QP20_QP32,52.24,3.18,0.522,QP20_QP32,51.35,3.06,0.525,QP20_QP32,55.67,2.25,0.528
QP20_QP39,53.0,4.23,0.548,QP20_QP39,54.2,4.46,0.5589999999999999,QP20_QP39,55.67,2.74,0.531
