Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,46.0,73.0,59.5,5.99,70.0,50.0,0.63,0.02,0.66,0.59
RBF2,46.0,90.0,68.0,5.37,75.0,55.0,0.72,0.06,0.8,0.6
RBF3,55.0,84.0,69.5,7.25,80.0,60.0,0.86,0.03,0.9,0.82
RBF4,46.0,68.0,57.0,8.56,65.0,45.0,0.56,0.04,0.61,0.47
RBF5,46.0,91.0,68.5,5.3,75.0,55.0,0.73,0.06,0.82,0.63
RBF6,55.0,99.0,77.0,7.89,90.0,65.0,0.93,0.02,0.96,0.89
RBF7,80.0,62.0,71.0,7.75,85.0,60.0,0.71,0.07,0.85,0.63
RBF8,80.0,85.0,82.5,10.61,95.0,65.0,0.91,0.06,1.0,0.81
RBF9,100.0,84.0,92.0,3.5,95.0,85.0,0.99,0.0,1.0,0.99
RBF10,46.0,84.0,65.0,5.27,75.0,55.0,0.69,0.05,0.74,0.57
RBF11,55.0,91.0,73.0,6.32,80.0,65.0,0.85,0.03,0.9,0.82
RBF12,69.0,89.0,79.0,3.16,85.0,75.0,0.92,0.02,0.95,0.9
RBF13,46.0,73.0,59.5,4.97,65.0,50.0,0.55,0.04,0.62,0.49
RBF14,55.0,56.0,55.5,6.43,65.0,45.0,0.59,0.05,0.66,0.48
RBF15,69.0,100.0,84.5,1.58,85.0,80.0,0.95,0.03,1.0,0.89
RBF16,80.0,52.0,66.0,4.59,75.0,60.0,0.68,0.07,0.76,0.55
RBF17,100.0,16.0,58.0,4.83,65.0,50.0,0.75,0.06,0.83,0.61
RBF18,86.0,80.0,83.0,5.37,90.0,75.0,0.94,0.02,0.97,0.9
RBF19,55.0,66.0,60.5,3.69,65.0,55.0,0.67,0.04,0.76,0.61
RBF20,69.0,61.0,65.0,7.45,75.0,55.0,0.71,0.02,0.75,0.68
RBF21,69.0,76.0,72.5,3.54,80.0,70.0,0.69,0.04,0.74,0.64
RBF22,55.0,63.0,59.0,4.59,65.0,50.0,0.6,0.04,0.65,0.53
RBF23,69.0,83.0,76.0,3.16,80.0,70.0,0.74,0.03,0.82,0.7
RBF24,69.0,76.0,72.5,4.86,80.0,65.0,0.75,0.03,0.81,0.71
RBF25,100.0,9.0,54.5,1.58,55.0,50.0,0.62,0.06,0.7,0.5
RBF26,86.0,18.0,52.0,5.37,60.0,45.0,0.67,0.03,0.72,0.63
RBF27,86.0,47.0,66.5,5.8,75.0,55.0,0.76,0.04,0.82,0.69
LINEAR1,39.0,93.0,66.0,3.16,70.0,60.0,0.82,0.03,0.84,0.73
LINEAR2,39.0,100.0,69.5,1.58,70.0,65.0,0.99,0.01,1.0,0.98
LINEAR3,44.0,100.0,72.0,3.5,80.0,70.0,1.0,0.01,1.0,0.96
LINEAR4,39.0,90.0,64.5,1.58,65.0,60.0,0.88,0.06,0.91,0.72
LINEAR5,39.0,100.0,69.5,1.58,70.0,65.0,1.0,0.01,1.0,0.98
LINEAR6,44.0,100.0,72.0,3.5,80.0,70.0,0.93,0.02,0.97,0.92
LINEAR7,24.0,92.0,58.0,6.32,75.0,55.0,0.76,0.02,0.79,0.73
LINEAR8,24.0,100.0,62.0,4.83,75.0,60.0,1.0,0.0,1.0,1.0
LINEAR9,100.0,90.0,95.0,0.0,95.0,95.0,1.0,0.01,1.0,0.99
LINEAR10,39.0,100.0,69.5,1.58,70.0,65.0,0.97,0.05,1.0,0.84
