Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,95.93,27.41,61.67,3.33,68.33,56.67
RBF2,100.0,87.41,93.7,2.74,98.33,90.0
RBF3,89.63,54.44,72.04,1.39,73.33,70.0
RBF4,100.0,95.56,97.78,1.18,100.0,96.67
RBF5,87.41,80.0,83.7,1.82,86.67,81.67
RBF6,75.56,64.07,69.81,2.56,73.33,66.67
RBF7,98.52,97.41,97.96,2.0,100.0,93.33
RBF8,98.15,87.04,92.59,3.64,96.67,85.0
RBF9,60.74,96.67,78.7,2.17,81.67,75.0
RBF10,51.11,92.96,72.04,2.86,76.67,68.33
RBF11,41.85,95.93,68.89,2.64,71.67,65.0
RBF12,96.3,100.0,98.15,2.42,100.0,93.33
RBF13,88.89,100.0,94.44,2.64,96.67,90.0
RBF14,68.15,98.89,83.52,2.12,86.67,80.0
RBF15,58.15,97.78,77.96,3.71,83.33,71.67
RBF16,77.41,93.33,85.37,10.1,95.0,65.0
RBF17,80.74,91.85,86.3,5.7,91.67,75.0
RBF18,98.15,100.0,99.07,1.88,100.0,95.0
RBF19,74.81,99.63,87.22,4.49,93.33,78.33
RBF20,65.19,100.0,82.59,2.22,85.0,78.33
RBF21,61.48,100.0,80.74,3.83,85.0,75.0
RBF22,66.67,94.81,80.74,6.93,90.0,68.33
RBF23,78.89,98.15,88.52,6.59,95.0,75.0
RBF24,91.48,99.63,95.56,3.54,100.0,88.33
RBF25,91.48,99.63,95.56,2.89,98.33,90.0
RBF26,69.26,99.63,84.44,2.04,86.67,80.0
RBF27,65.19,100.0,82.59,2.52,85.0,76.67
RBF28,81.48,98.89,90.19,5.56,96.67,80.0
RBF29,84.81,97.78,91.3,4.62,95.0,80.0
RBF30,85.93,82.59,84.26,4.94,88.33,73.33
RBF31,98.52,99.26,98.89,2.36,100.0,93.33
RBF32,98.89,95.19,97.04,3.09,100.0,91.67
RBF33,66.3,100.0,83.15,2.12,85.0,78.33
RBF34,49.26,100.0,74.63,2.74,78.33,70.0
RBF35,87.04,99.26,93.15,4.6,96.67,83.33
RBF36,88.52,98.89,93.7,2.98,96.67,86.67
RBF37,90.0,98.15,94.07,4.34,96.67,85.0
RBF38,75.93,76.67,76.3,7.01,85.0,65.0
RBF39,87.41,99.63,93.52,2.27,95.0,88.33
RBF40,89.26,100.0,94.63,2.74,98.33,90.0
RBF41,66.3,100.0,83.15,2.69,86.67,78.33
RBF42,58.15,100.0,79.07,3.13,83.33,75.0
RBF43,86.67,100.0,93.33,3.73,96.67,86.67
RBF44,90.37,100.0,95.19,1.3,96.67,93.33
RBF45,91.85,97.04,94.44,1.18,95.0,91.67
RBF46,92.96,85.19,89.07,8.98,95.0,71.67
RBF47,89.26,70.37,79.81,7.04,85.0,65.0
RBF48,87.04,96.67,91.85,6.15,96.67,78.33
RBF49,95.19,96.67,95.93,3.02,98.33,88.33
