Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
LINEAR106,51.85,65.19,58.52,2.12,61.67,56.67
OLD1,43.33,70.0,56.67,0.0,56.67,56.67
OLD2,66.67,96.67,81.67,0.0,81.67,81.67
OLD3,0.0,100.0,50.0,0.0,50.0,50.0
OLD4,83.33,83.33,83.33,0.0,83.33,83.33
OLD5,63.33,86.67,75.0,0.0,75.0,75.0
OLD6,86.67,20.0,53.33,0.0,53.33,53.33
OLD7,96.67,96.67,96.67,0.0,96.67,96.67
OLD8,90.0,96.67,93.33,0.0,93.33,93.33
OLD9,83.33,66.67,75.0,0.0,75.0,75.0
OLD10,70.0,63.33,66.67,0.0,66.67,66.67
OLD11,70.0,50.0,60.0,0.0,60.0,60.0
OLD12,100.0,100.0,100.0,0.0,100.0,100.0
OLD13,100.0,100.0,100.0,0.0,100.0,100.0
OLD14,100.0,100.0,100.0,0.0,100.0,100.0
OLD15,100.0,100.0,100.0,0.0,100.0,100.0
OLD16,96.67,100.0,98.33,0.0,98.33,98.33
OLD17,90.0,93.33,91.67,0.0,91.67,91.67
OLD18,100.0,100.0,100.0,0.0,100.0,100.0
OLD19,100.0,100.0,100.0,0.0,100.0,100.0
OLD20,100.0,100.0,100.0,0.0,100.0,100.0
OLD21,100.0,100.0,100.0,0.0,100.0,100.0
OLD22,100.0,100.0,100.0,0.0,100.0,100.0
OLD23,96.67,100.0,98.33,0.0,98.33,98.33
OLD24,100.0,100.0,100.0,0.0,100.0,100.0
OLD25,100.0,100.0,100.0,0.0,100.0,100.0
OLD26,100.0,100.0,100.0,0.0,100.0,100.0
OLD27,100.0,100.0,100.0,0.0,100.0,100.0
OLD28,100.0,100.0,100.0,0.0,100.0,100.0
OLD29,100.0,100.0,100.0,0.0,100.0,100.0
OLD30,93.33,96.67,95.0,0.0,95.0,95.0
OLD31,100.0,100.0,100.0,0.0,100.0,100.0
OLD32,100.0,100.0,100.0,0.0,100.0,100.0
OLD33,100.0,100.0,100.0,0.0,100.0,100.0
OLD34,100.0,100.0,100.0,0.0,100.0,100.0
OLD35,100.0,100.0,100.0,0.0,100.0,100.0
OLD36,100.0,100.0,100.0,0.0,100.0,100.0
