Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,98.15,72.22,85.19,3.48,88.33,80.0
RBF2,98.89,88.89,93.89,4.17,98.33,86.67
RBF3,94.81,31.85,63.33,4.49,70.0,56.67
RBF4,98.52,93.33,95.93,1.47,96.67,93.33
RBF5,66.67,97.04,81.85,6.15,93.33,75.0
RBF6,88.52,52.59,70.56,3.63,76.67,66.67
RBF7,97.78,95.56,96.67,1.18,98.33,95.0
RBF8,90.37,90.0,90.19,2.42,93.33,86.67
RBF9,88.89,69.26,79.07,5.14,85.0,71.67
RBF10,79.63,70.37,75.0,4.86,85.0,68.33
RBF11,84.81,72.22,78.52,5.43,83.33,68.33
RBF12,98.15,97.04,97.59,1.69,100.0,95.0
RBF13,93.7,98.15,95.93,2.22,98.33,93.33
RBF14,92.96,94.07,93.52,5.49,100.0,83.33
RBF15,90.74,83.33,87.04,5.88,98.33,78.33
RBF16,87.04,91.11,89.07,6.67,98.33,75.0
RBF17,88.15,68.52,78.33,4.93,86.67,70.0
RBF18,98.15,98.15,98.15,2.56,100.0,93.33
RBF19,88.52,99.26,93.89,2.36,96.67,90.0
RBF20,93.7,98.52,96.11,2.5,100.0,93.33
RBF21,92.22,89.26,90.74,4.26,98.33,85.0
RBF22,89.26,91.11,90.19,5.23,98.33,80.0
RBF23,88.15,83.7,85.93,6.57,96.67,73.33
RBF24,98.15,98.89,98.52,2.12,100.0,95.0
RBF25,95.19,98.89,97.04,1.62,100.0,95.0
RBF26,92.96,98.89,95.93,2.52,100.0,91.67
RBF27,94.07,92.59,93.33,3.82,98.33,86.67
RBF28,89.26,98.52,93.89,3.44,100.0,88.33
RBF29,89.26,91.85,90.56,7.64,98.33,73.33
RBF30,74.07,84.07,79.07,7.03,86.67,66.67
RBF31,97.78,98.52,98.15,2.12,100.0,95.0
RBF32,95.56,97.04,96.3,2.0,98.33,91.67
RBF33,94.44,98.89,96.67,1.86,100.0,95.0
RBF34,94.44,98.52,96.48,2.12,100.0,93.33
RBF35,89.63,98.89,94.26,2.9,100.0,90.0
RBF36,92.59,99.26,95.93,2.78,100.0,91.67
