Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
LINEAR77,96.67,3.33,50.0,0.0,50.0,50.0
LINEAR78,96.67,0.0,48.33,0.0,48.33,48.33
LINEAR79,96.67,0.0,48.33,0.0,48.33,48.33
LINEAR80,96.67,3.33,50.0,0.0,50.0,50.0
LINEAR81,91.48,10.0,50.74,0.88,51.67,50.0
LINEAR82,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR83,93.33,10.0,51.67,0.0,51.67,51.67
LINEAR84,96.67,3.33,50.0,0.0,50.0,50.0
LINEAR85,96.67,3.33,50.0,0.0,50.0,50.0
LINEAR86,99.26,0.0,49.63,0.73,50.0,48.33
LINEAR87,96.3,3.33,49.81,0.56,50.0,48.33
LINEAR88,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR89,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR90,96.67,0.0,48.33,0.0,48.33,48.33
LINEAR91,96.67,5.93,51.3,0.73,51.67,50.0
LINEAR92,90.0,11.11,50.56,0.83,51.67,50.0
LINEAR93,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR94,90.0,6.67,48.33,0.0,48.33,48.33
LINEAR95,96.67,3.33,50.0,0.0,50.0,50.0
LINEAR96,89.63,10.74,50.19,1.0,51.67,48.33
LINEAR97,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR98,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR99,95.56,6.67,51.11,0.83,51.67,50.0
LINEAR100,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR101,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR102,93.33,3.33,48.33,0.0,48.33,48.33
LINEAR103,100.0,0.0,50.0,0.0,50.0,50.0
LINEAR104,93.33,3.33,48.33,0.0,48.33,48.33
LINEAR105,100.0,4.81,52.41,0.88,53.33,51.67
LINEAR106,92.96,10.0,51.48,0.56,51.67,50.0
OLD1,30.0,83.33,56.67,0.0,56.67,56.67
OLD2,76.67,90.0,83.33,0.0,83.33,83.33
OLD3,100.0,6.67,53.33,0.0,53.33,53.33
OLD4,76.67,90.0,83.33,0.0,83.33,83.33
OLD5,76.67,80.0,78.33,0.0,78.33,78.33
OLD6,93.33,16.67,55.0,0.0,55.0,55.0
OLD7,90.0,100.0,95.0,0.0,95.0,95.0
OLD8,86.67,100.0,93.33,0.0,93.33,93.33
OLD9,83.33,73.33,78.33,0.0,78.33,78.33
OLD10,70.0,63.33,66.67,0.0,66.67,66.67
OLD11,66.67,56.67,61.67,0.0,61.67,61.67
OLD12,100.0,100.0,100.0,0.0,100.0,100.0
OLD13,100.0,100.0,100.0,0.0,100.0,100.0
OLD14,96.67,100.0,98.33,0.0,98.33,98.33
