Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,93.33,13.7,53.52,1.55,55.0,51.67
RBF2,93.33,30.0,61.67,1.44,63.33,60.0
RBF3,98.89,6.3,52.59,1.21,53.33,50.0
RBF4,98.15,57.04,77.59,2.52,81.67,73.33
RBF5,96.3,28.15,62.22,1.67,63.33,58.33
RBF6,96.3,14.07,55.19,1.3,56.67,53.33
RBF7,97.41,63.7,80.56,4.25,88.33,73.33
RBF8,97.78,25.56,61.67,1.44,63.33,60.0
RBF9,94.81,32.59,63.7,1.82,66.67,60.0
RBF10,88.15,20.37,54.26,1.47,56.67,51.67
RBF11,87.41,28.15,57.78,2.36,61.67,55.0
RBF12,94.81,85.93,90.37,5.94,100.0,80.0
RBF13,97.78,86.3,92.04,2.98,95.0,88.33
RBF14,96.3,84.07,90.19,2.69,95.0,85.0
RBF15,89.26,47.78,68.52,3.27,73.33,65.0
RBF16,93.7,59.63,76.67,2.36,80.0,73.33
RBF17,99.26,61.48,80.37,4.98,88.33,73.33
RBF18,98.15,95.19,96.67,3.12,100.0,90.0
RBF19,96.67,91.48,94.07,2.9,96.67,90.0
RBF20,93.7,82.59,88.15,2.94,93.33,85.0
RBF21,89.26,61.11,75.19,2.42,80.0,71.67
RBF22,90.74,38.52,64.63,2.47,68.33,60.0
RBF23,99.63,51.85,75.74,3.24,80.0,71.67
RBF24,97.78,92.59,95.19,4.82,100.0,86.67
RBF25,98.89,84.81,91.85,7.75,98.33,76.67
RBF26,96.3,97.41,96.85,3.27,98.33,88.33
RBF27,89.26,70.74,80.0,4.71,85.0,70.0
RBF28,90.74,56.67,73.7,3.98,80.0,66.67
RBF29,99.63,64.07,81.85,3.17,86.67,76.67
RBF30,87.04,36.67,61.85,4.6,68.33,55.0
RBF31,97.78,93.7,95.74,4.34,100.0,88.33
RBF32,99.26,94.07,96.67,5.59,100.0,83.33
RBF33,95.19,99.63,97.41,1.21,98.33,95.0
RBF34,89.26,88.89,89.07,6.02,93.33,76.67
