Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF_LQP1,90.3,94.07,92.19,0.68,93.33,91.0
RBF_SQP,91.07,64.85,77.96,1.94,80.67,73.83
RBF_LQP2,86.59,40.04,63.31,1.36,66.17,61.33
LINEAR_LQP1,94.41,89.56,91.98,0.28,92.5,91.67
LINEAR_SQP,92.48,66.78,79.63,4.57,83.67,71.67
LINEAR_LQP2,81.74,48.44,65.09,0.34,65.67,64.5
OLD_LQP1,94.0,83.0,88.5,0.0,88.5,88.5
OLD_SQP,42.0,63.0,52.5,0.0,52.5,52.5
OLD_LQP2,34.0,82.33,58.17,0.0,58.17,58.17
