Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
OLD85,0.0,0.0,56.67,0.0,56.67,56.67,0.54,0.0,0.54,0.54
OLD86,0.0,0.0,60.0,0.0,60.0,60.0,0.57,0.0,0.57,0.57
OLD87,0.0,0.0,53.33,0.0,53.33,53.33,0.51,0.0,0.51,0.51
OLD88,0.0,0.0,55.0,0.0,55.0,55.0,0.5,0.0,0.5,0.5
OLD89,0.0,0.0,53.33,0.0,53.33,53.33,0.51,0.0,0.51,0.51
OLD90,0.0,0.0,56.67,0.0,56.67,56.67,0.51,0.0,0.51,0.51
OLD91,0.0,0.0,58.33,0.0,58.33,58.33,0.6,0.0,0.6,0.6
OLD92,0.0,0.0,60.0,0.0,60.0,60.0,0.57,0.0,0.57,0.57
OLD93,0.0,0.0,56.67,0.0,56.67,56.67,0.51,0.0,0.51,0.51
OLD94,0.0,0.0,55.0,0.0,55.0,55.0,0.55,0.0,0.55,0.55
OLD95,0.0,0.0,60.0,0.0,60.0,60.0,0.56,0.0,0.56,0.56
OLD96,0.0,0.0,55.0,0.0,55.0,55.0,0.54,0.0,0.54,0.54
OLD97,0.0,0.0,60.0,0.0,60.0,60.0,0.58,0.0,0.58,0.58
OLD98,0.0,0.0,58.33,0.0,58.33,58.33,0.58,0.0,0.57,0.57
OLD99,0.0,0.0,56.67,0.0,56.67,56.67,0.59,0.0,0.59,0.59
OLD100,0.0,0.0,60.0,0.0,60.0,60.0,0.57,0.0,0.57,0.57
OLD101,0.0,0.0,55.0,0.0,55.0,55.0,0.56,0.0,0.56,0.56
OLD102,0.0,0.0,61.67,0.0,61.67,61.67,0.62,0.0,0.62,0.62
OLD103,0.0,0.0,58.33,0.0,58.33,58.33,0.57,0.0,0.57,0.57
OLD104,0.0,0.0,58.33,0.0,58.33,58.33,0.55,0.0,0.55,0.55
OLD105,0.0,0.0,70.0,0.0,70.0,70.0,0.69,0.0,0.69,0.69
OLD106,0.0,0.0,61.67,0.0,61.67,61.67,0.64,0.0,0.64,0.64
