Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,96.67,77.41,87.04,7.81,95.0,71.67,0.95,0.02,0.97,0.91
RBF2,96.67,81.11,88.89,5.77,93.33,78.33,0.97,0.04,1.0,0.91
RBF3,94.44,45.19,69.81,1.76,71.67,66.67,0.87,0.01,0.89,0.85
RBF4,96.67,82.22,89.44,5.27,95.0,80.0,0.96,0.02,0.97,0.92
RBF5,94.44,54.81,74.63,1.62,76.67,71.67,0.89,0.01,0.92,0.88
RBF6,87.78,79.63,83.7,3.8,88.33,76.67,0.9,0.02,0.91,0.86
RBF7,96.67,89.26,92.96,2.74,96.67,88.33,0.97,0.01,0.99,0.95
RBF8,94.44,76.3,85.37,1.82,88.33,83.33,0.88,0.01,0.91,0.87
RBF9,87.78,74.44,81.11,1.86,83.33,78.33,0.87,0.01,0.89,0.85
RBF10,67.04,87.78,77.41,1.88,80.0,75.0,0.86,0.02,0.89,0.84
RBF11,75.56,84.44,80.0,1.18,81.67,78.33,0.88,0.0,0.88,0.87
RBF12,96.67,96.67,96.67,1.67,98.33,93.33,1.0,0.0,1.0,0.99
RBF13,94.44,95.19,94.81,2.42,98.33,91.67,0.96,0.02,0.99,0.93
RBF14,87.78,98.15,92.96,1.39,95.0,91.67,0.99,0.01,1.0,0.98
RBF15,67.04,99.26,83.15,3.27,88.33,78.33,0.98,0.02,1.0,0.95
RBF16,75.56,96.67,86.11,1.18,86.67,83.33,0.97,0.0,0.98,0.97
RBF17,81.85,96.67,89.26,1.69,91.67,86.67,0.97,0.01,0.98,0.96
RBF18,96.67,100.0,98.33,2.04,100.0,95.0,1.0,0.0,1.0,1.0
RBF19,94.44,95.93,95.19,1.94,98.33,91.67,0.95,0.03,1.0,0.93
RBF20,87.78,100.0,93.89,1.67,96.67,91.67,1.0,0.0,1.0,1.0
RBF21,67.04,100.0,83.52,2.82,88.33,81.67,0.99,0.01,1.0,0.97
RBF22,75.56,98.15,86.85,1.76,88.33,83.33,0.99,0.01,1.0,0.98
RBF23,81.85,96.67,89.26,1.69,91.67,86.67,0.97,0.0,0.98,0.97
RBF24,96.67,100.0,98.33,2.04,100.0,95.0,1.0,0.0,1.0,1.0
RBF25,94.44,100.0,97.22,0.83,98.33,96.67,0.97,0.02,1.0,0.96
RBF26,87.78,100.0,93.89,1.67,96.67,91.67,1.0,0.0,1.0,1.0
RBF27,67.04,100.0,83.52,2.82,88.33,81.67,1.0,0.0,1.0,1.0
RBF28,75.56,98.15,86.85,1.76,88.33,83.33,0.99,0.01,1.0,0.97
