Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std
QP42_QP42,74.63,5.92,QP42_QP42,72.59,7.04,QP42_QP42,63.0,2.19
QP45_QP45,75.15,4.49,QP45_QP45,70.83,6.19,QP45_QP45,63.0,2.81
QP10_QP16,58.89,3.31,QP10_QP16,62.56,4.8,QP10_QP16,54.33,1.41
QP10_QP20,55.95,4.61,QP10_QP20,58.98,3.74,QP10_QP20,53.0,1.31
QP10_QP24,56.7,3.49,QP10_QP24,57.81,4.67,QP10_QP24,53.67,1.53
QP10_QP27,54.18,2.3,QP10_QP27,57.08,3.54,QP10_QP27,54.5,1.58
QP10_QP32,53.98,4.1,QP10_QP32,55.68,3.61,QP10_QP32,54.33,2.38
QP10_QP39,51.5,2.84,QP10_QP39,53.04,6.96,QP10_QP39,54.33,1.17
QP10_QP42,53.93,2.65,QP10_QP42,56.57,4.59,QP10_QP42,53.83,1.58
QP10_QP45,51.22,1.8,QP10_QP45,54.22,4.4,QP10_QP45,55.17,2.15
QP15_QP16,74.17,6.26,QP15_QP16,81.61,9.87,QP15_QP16,50.5,1.12
QP15_QP20,60.48,4.61,QP15_QP20,68.54,6.84,QP15_QP20,52.33,0.86
QP15_QP24,62.11,3.38,QP15_QP24,66.65,5.81,QP15_QP24,52.83,1.37
QP15_QP27,59.72,3.45,QP15_QP27,65.19,4.12,QP15_QP27,54.0,1.17
QP15_QP32,54.72,4.0,QP15_QP32,56.45,3.88,QP15_QP32,55.33,1.89
QP15_QP39,55.59,3.97,QP15_QP39,55.04,3.59,QP15_QP39,54.0,1.79
QP15_QP42,56.32,2.91,QP15_QP42,57.65,3.0,QP15_QP42,54.0,2.38
QP15_QP45,51.3,2.57,QP15_QP45,54.2,3.41,QP15_QP45,55.67,2.11
QP20_QP24,62.5,4.23,QP20_QP24,67.37,5.34,QP20_QP24,52.33,1.4
QP20_QP27,63.59,3.98,QP20_QP27,68.0,4.59,QP20_QP27,55.5,2.23
QP20_QP32,57.59,3.93,QP20_QP32,62.5,6.99,QP20_QP32,56.5,2.77
QP20_QP39,57.09,2.64,QP20_QP39,58.28,5.99,QP20_QP39,54.5,1.37
QP20_QP42,55.44,4.67,QP20_QP42,58.32,3.03,QP20_QP42,55.17,2.15
QP20_QP45,52.61,3.56,QP20_QP45,56.2,4.61,QP20_QP45,55.83,2.11
QP25_QP27,65.85,3.52,QP25_QP27,71.63,5.02,QP25_QP27,58.67,2.05
QP25_QP32,61.98,4.1,QP25_QP32,64.26,6.2,QP25_QP32,58.0,2.58
QP25_QP39,59.78,1.31,QP25_QP39,63.15,6.58,QP25_QP39,56.0,1.61
QP25_QP42,57.04,3.25,QP25_QP42,60.87,1.71,QP25_QP42,55.5,2.49
QP25_QP45,55.02,3.25,QP25_QP45,57.91,6.03,QP25_QP45,56.67,2.36
QP30_QP32,66.06,3.24,QP30_QP32,64.78,4.26,QP30_QP32,61.5,2.0
QP30_QP39,61.59,3.22,QP30_QP39,66.5,4.21,QP30_QP39,58.67,2.33
QP30_QP42,60.81,3.85,QP30_QP42,61.96,3.45,QP30_QP42,57.67,2.38
QP30_QP45,56.83,5.17,QP30_QP45,61.83,6.77,QP30_QP45,56.5,1.46
QP32_QP39,61.17,3.0,QP32_QP39,67.17,7.79,QP32_QP39,60.5,2.49
QP32_QP42,61.26,5.06,QP32_QP42,65.3,2.59,QP32_QP42,62.0,3.83
QP32_QP45,58.65,4.03,QP32_QP45,59.91,4.03,QP32_QP45,58.17,2.99
QP35_QP39,60.17,4.01,QP35_QP39,64.68,3.7,QP35_QP39,59.0,2.25
QP35_QP42,62.8,3.67,QP35_QP42,67.72,5.03,QP35_QP42,60.66,3.26
QP35_QP45,58.54,2.35,QP35_QP45,64.89,4.52,QP35_QP45,59.0,3.26
QP40_QP42,69.48,5.02,QP40_QP42,69.0,4.64,QP40_QP42,68.17,3.38
QP40_QP45,59.45,3.38,QP40_QP45,62.83,2.71,QP40_QP45,62.0,3.75
