Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,94.81,36.3,65.56,2.64,71.67,63.33,0.86,0.01,0.89,0.84
RBF2,99.26,97.78,98.52,1.94,100.0,95.0,1.0,0.0,1.0,0.99
RBF3,82.22,78.15,80.19,3.77,85.0,75.0,0.88,0.01,0.9,0.87
RBF4,98.89,94.44,96.67,1.18,98.33,95.0,1.0,0.0,1.0,0.99
RBF5,64.81,95.19,80.0,3.73,86.67,75.0,0.94,0.02,0.97,0.91
RBF6,87.78,61.85,74.81,2.42,78.33,70.0,0.92,0.02,0.93,0.85
RBF7,98.15,98.89,98.52,1.55,100.0,96.67,1.0,0.0,1.0,1.0
RBF8,81.48,97.41,89.44,2.64,93.33,85.0,0.98,0.01,0.99,0.97
RBF9,91.48,87.78,89.63,2.98,93.33,83.33,0.97,0.01,0.98,0.95
RBF10,78.89,90.37,84.63,1.62,86.67,81.67,0.93,0.02,0.95,0.88
RBF11,93.33,78.52,85.93,4.34,90.0,76.67,0.94,0.03,0.96,0.86
RBF12,97.78,98.89,98.33,2.04,100.0,95.0,1.0,0.0,1.0,1.0
RBF13,84.07,100.0,92.04,3.2,96.67,86.67,0.99,0.0,1.0,0.99
RBF14,92.22,99.26,95.74,2.78,96.67,88.33,1.0,0.0,1.0,0.99
RBF15,91.48,99.26,95.37,2.86,98.33,88.33,1.0,0.01,1.0,0.98
RBF16,90.74,96.67,93.7,3.89,98.33,85.0,0.99,0.01,1.0,0.97
RBF17,76.67,98.52,87.59,4.8,93.33,78.33,0.97,0.02,0.99,0.92
RBF18,96.67,97.04,96.85,1.76,100.0,93.33,1.0,0.0,1.0,0.99
RBF19,88.89,99.26,94.07,1.47,96.67,91.67,0.99,0.0,1.0,0.99
RBF20,92.22,98.52,95.37,2.17,98.33,91.67,0.99,0.0,1.0,0.99
RBF21,94.44,98.89,96.67,2.36,98.33,91.67,1.0,0.01,1.0,0.98
RBF22,93.7,99.26,96.48,3.86,100.0,86.67,1.0,0.01,1.0,0.98
RBF23,95.19,98.89,97.04,2.86,100.0,90.0,0.98,0.01,1.0,0.96
RBF24,98.15,98.52,98.33,1.44,100.0,96.67,1.0,0.0,1.0,0.99
RBF25,89.26,99.63,94.44,1.18,96.67,93.33,0.99,0.0,1.0,0.99
RBF26,97.04,97.78,97.41,2.37,100.0,93.33,1.0,0.0,1.0,1.0
RBF27,96.67,95.56,96.11,1.44,98.33,93.33,0.99,0.0,1.0,0.99
RBF28,96.67,99.63,98.15,2.12,100.0,93.33,1.0,0.0,1.0,0.99
RBF29,93.7,99.63,96.67,3.0,100.0,90.0,0.99,0.01,1.0,0.97
RBF30,80.74,94.81,87.78,6.4,91.67,71.67,0.95,0.03,0.97,0.87
RBF31,98.15,98.52,98.33,1.44,100.0,96.67,1.0,0.0,1.0,1.0
RBF32,88.15,99.63,93.89,1.67,96.67,91.67,1.0,0.0,1.0,0.99
RBF33,99.26,99.26,99.26,1.21,100.0,96.67,1.0,0.0,1.0,1.0
RBF34,99.63,95.56,97.59,2.06,100.0,93.33,1.0,0.0,1.0,0.99
RBF35,97.78,97.41,97.59,3.13,100.0,90.0,1.0,0.01,1.0,0.98
RBF36,96.3,98.15,97.22,2.5,100.0,91.67,0.99,0.01,1.0,0.97
RBF37,92.96,97.41,95.19,2.12,96.67,90.0,0.99,0.02,1.0,0.94
RBF38,84.44,84.07,84.26,5.47,88.33,70.0,0.93,0.05,0.97,0.8
RBF39,98.15,97.04,97.59,1.88,100.0,95.0,1.0,0.0,1.0,0.99
RBF40,76.3,97.04,86.67,3.0,91.67,83.33,0.98,0.01,0.99,0.97
RBF41,98.89,100.0,99.44,1.18,100.0,96.67,1.0,0.0,1.0,1.0
RBF42,98.89,98.52,98.7,1.11,100.0,96.67,1.0,0.0,1.0,1.0
RBF43,99.63,98.52,99.07,0.88,100.0,98.33,1.0,0.0,1.0,1.0
RBF44,96.67,97.41,97.04,2.17,98.33,91.67,1.0,0.01,1.0,0.98
RBF45,94.07,97.41,95.74,1.88,98.33,91.67,1.0,0.01,1.0,0.97
RBF46,90.74,93.7,92.22,4.64,96.67,81.67,0.98,0.03,1.0,0.89
RBF47,81.48,90.74,86.11,7.12,91.67,70.0,0.95,0.05,0.98,0.82
RBF48,87.78,100.0,93.89,4.71,98.33,81.67,1.0,0.0,1.0,0.99
RBF49,76.3,100.0,88.15,4.44,93.33,83.33,0.99,0.0,1.0,0.99
RBF50,99.26,100.0,99.63,0.73,100.0,98.33,1.0,0.0,1.0,1.0
RBF51,98.52,100.0,99.26,1.21,100.0,96.67,1.0,0.0,1.0,1.0
RBF52,96.67,99.63,98.15,3.27,100.0,90.0,1.0,0.0,1.0,0.99
RBF53,95.93,99.63,97.78,3.0,100.0,90.0,1.0,0.0,1.0,0.99
RBF54,93.7,96.3,95.0,4.49,98.33,83.33,0.99,0.01,1.0,0.96
RBF55,87.04,97.41,92.22,5.59,96.67,78.33,0.98,0.03,1.0,0.89
RBF56,77.41,99.63,88.52,6.26,93.33,73.33,0.98,0.04,1.0,0.89
RBF57,71.48,96.3,83.89,5.14,91.67,73.33,0.93,0.06,0.96,0.78
RBF58,87.41,99.26,93.33,2.04,95.0,90.0,0.97,0.01,0.98,0.96
RBF59,83.7,90.0,86.85,2.94,91.67,83.33,0.91,0.02,0.94,0.86
RBF60,87.04,69.63,78.33,4.86,85.0,68.33,0.91,0.03,0.94,0.84
RBF61,87.78,58.89,73.33,4.41,76.67,65.0,0.88,0.03,0.9,0.79
RBF62,76.67,94.44,85.56,4.56,90.0,78.33,0.95,0.03,0.97,0.88
RBF63,73.7,91.48,82.59,6.07,91.67,71.67,0.93,0.04,0.96,0.84
RBF64,81.85,85.93,83.89,8.5,90.0,61.67,0.9,0.04,0.92,0.8
RBF65,89.63,72.22,80.93,4.01,85.0,71.67,0.9,0.04,0.93,0.8
RBF66,71.11,82.59,76.85,4.29,81.67,66.67,0.86,0.04,0.89,0.76
RBF67,70.0,86.3,78.15,4.75,83.33,66.67,0.83,0.04,0.87,0.72
RBF68,83.7,40.74,62.22,1.86,65.0,58.33,0.71,0.02,0.73,0.67
RBF69,70.74,35.56,53.15,2.69,56.67,48.33,0.57,0.01,0.58,0.55
RBF70,68.52,53.7,61.11,2.2,65.0,58.33,0.66,0.01,0.67,0.65
RBF71,55.93,62.59,59.26,2.37,61.67,55.0,0.62,0.01,0.63,0.61
RBF72,59.26,41.85,50.56,3.23,55.0,46.67,0.51,0.02,0.55,0.48
RBF73,81.85,21.11,51.48,1.55,53.33,50.0,0.55,0.01,0.56,0.53
RBF74,57.04,38.15,47.59,3.13,53.33,43.33,0.49,0.01,0.52,0.47
RBF75,58.15,50.74,54.44,3.23,60.0,50.0,0.53,0.02,0.56,0.5
RBF76,89.63,44.07,66.85,1.76,68.33,63.33,0.88,0.03,0.9,0.81
RBF77,79.26,35.93,57.59,3.13,61.67,53.33,0.66,0.01,0.68,0.64
RBF78,68.15,69.26,68.7,3.51,73.33,61.67,0.75,0.01,0.76,0.74
RBF79,54.07,70.74,62.41,2.9,66.67,58.33,0.67,0.02,0.71,0.64
RBF80,79.63,29.63,54.63,3.71,60.0,50.0,0.61,0.01,0.63,0.6
RBF81,80.0,32.59,56.3,3.41,60.0,50.0,0.56,0.01,0.57,0.54
RBF82,58.15,38.15,48.15,3.48,56.67,45.0,0.49,0.02,0.54,0.47
RBF83,60.37,38.52,49.44,2.04,51.67,45.0,0.49,0.02,0.53,0.48
RBF84,88.89,34.44,61.67,1.18,63.33,60.0,0.7,0.01,0.73,0.69
RBF85,71.48,61.11,66.3,2.47,70.0,61.67,0.72,0.02,0.76,0.71
RBF86,78.52,36.67,57.59,1.88,61.67,55.0,0.63,0.02,0.65,0.6
RBF87,84.44,29.63,57.04,2.0,60.0,55.0,0.64,0.01,0.67,0.62
RBF88,60.74,50.37,55.56,3.0,60.0,50.0,0.59,0.01,0.61,0.56
RBF89,61.48,41.85,51.67,1.86,53.33,48.33,0.55,0.01,0.56,0.54
RBF90,57.04,82.22,69.63,4.39,75.0,61.67,0.79,0.01,0.81,0.77
RBF91,50.74,71.85,61.3,4.23,66.67,51.67,0.67,0.01,0.69,0.65
RBF92,84.07,29.63,56.85,1.76,58.33,53.33,0.6,0.03,0.67,0.58
RBF93,65.56,52.59,59.07,2.06,63.33,56.67,0.63,0.01,0.64,0.61
RBF94,68.15,30.0,49.07,1.47,51.67,46.67,0.52,0.01,0.53,0.49
RBF95,79.26,58.15,68.7,2.98,71.67,65.0,0.76,0.02,0.78,0.71
RBF96,88.52,27.78,58.15,2.12,61.67,55.0,0.65,0.01,0.66,0.64
RBF97,67.78,39.63,53.7,2.0,56.67,50.0,0.58,0.02,0.63,0.55
RBF98,67.78,31.11,49.44,1.86,53.33,48.33,0.5,0.01,0.52,0.49
RBF99,81.48,45.56,63.52,2.12,66.67,61.67,0.69,0.02,0.74,0.66
RBF100,61.85,58.52,60.19,1.76,63.33,58.33,0.63,0.01,0.64,0.61
RBF101,70.0,38.15,54.07,2.9,58.33,48.33,0.58,0.01,0.59,0.56
RBF102,80.74,41.48,61.11,3.0,65.0,56.67,0.69,0.01,0.7,0.66
RBF103,58.15,57.04,57.59,4.57,66.67,51.67,0.62,0.01,0.63,0.58
RBF104,62.59,40.0,51.3,3.71,60.0,48.33,0.53,0.01,0.54,0.51
RBF105,67.41,59.26,63.33,2.36,66.67,58.33,0.71,0.02,0.73,0.67
RBF106,61.11,49.26,55.19,1.55,56.67,51.67,0.59,0.01,0.6,0.57
LINEAR1,100.0,47.04,73.52,3.48,80.0,68.33,0.98,0.01,0.99,0.96
LINEAR2,96.67,99.63,98.15,1.3,100.0,95.0,1.0,0.0,1.0,1.0
LINEAR3,65.56,94.07,79.81,1.76,81.67,76.67,0.87,0.01,0.88,0.86
LINEAR4,100.0,95.56,97.78,1.67,100.0,95.0,1.0,0.0,1.0,0.99
LINEAR5,41.48,96.67,69.07,4.5,78.33,65.0,0.93,0.01,0.94,0.91
LINEAR6,93.7,81.85,87.78,6.61,91.67,71.67,0.96,0.01,0.97,0.95
LINEAR7,100.0,99.63,99.81,0.56,100.0,98.33,1.0,0.0,1.0,1.0
LINEAR8,52.22,98.52,75.37,5.12,86.67,70.0,0.98,0.0,0.99,0.97
LINEAR9,85.19,93.7,89.44,2.04,93.33,86.67,0.98,0.01,0.99,0.97
LINEAR10,79.63,95.93,87.78,3.73,91.67,80.0,0.97,0.01,0.98,0.96
LINEAR11,99.63,81.48,90.56,8.58,96.67,73.33,0.99,0.0,1.0,0.99
LINEAR12,100.0,99.26,99.63,0.73,100.0,98.33,1.0,0.0,1.0,1.0
LINEAR13,50.74,100.0,75.37,5.26,86.67,70.0,1.0,0.0,1.0,1.0
LINEAR14,80.0,100.0,90.0,3.63,98.33,86.67,1.0,0.0,1.0,1.0
LINEAR15,91.85,100.0,95.93,2.22,98.33,93.33,1.0,0.0,1.0,1.0
LINEAR16,92.22,99.63,95.93,2.52,100.0,91.67,1.0,0.0,1.0,1.0
LINEAR17,72.96,99.63,86.3,6.55,96.67,80.0,1.0,0.0,1.0,0.99
LINEAR18,91.48,98.89,95.19,1.0,96.67,93.33,1.0,0.0,1.0,0.99
LINEAR19,70.37,95.19,82.78,3.0,90.0,80.0,0.97,0.01,0.98,0.94
LINEAR20,82.59,99.26,90.93,4.42,98.33,86.67,1.0,0.0,1.0,0.99
LINEAR21,90.0,99.26,94.63,2.17,98.33,91.67,1.0,0.0,1.0,1.0
LINEAR22,80.37,100.0,90.19,6.37,100.0,80.0,1.0,0.0,1.0,1.0
LINEAR23,92.96,99.26,96.11,2.64,100.0,91.67,1.0,0.0,1.0,1.0
LINEAR24,100.0,95.19,97.59,1.21,98.33,95.0,0.99,0.01,1.0,0.98
LINEAR25,72.96,99.63,86.3,4.31,95.0,81.67,0.99,0.0,1.0,0.98
LINEAR26,78.15,99.63,88.89,5.0,98.33,83.33,1.0,0.0,1.0,1.0
LINEAR27,97.41,99.26,98.33,0.83,100.0,96.67,1.0,0.0,1.0,1.0
LINEAR28,93.33,100.0,96.67,2.89,100.0,91.67,1.0,0.0,1.0,1.0
LINEAR29,86.3,100.0,93.15,4.37,100.0,88.33,1.0,0.0,1.0,1.0
LINEAR30,57.78,97.04,77.41,7.51,91.67,66.67,0.94,0.02,0.97,0.92
LINEAR31,98.52,99.63,99.07,1.47,100.0,96.67,1.0,0.0,1.0,1.0
LINEAR32,73.7,92.22,82.96,3.2,90.0,78.33,0.96,0.01,0.97,0.93
LINEAR33,87.78,98.89,93.33,3.33,96.67,88.33,1.0,0.0,1.0,0.99
LINEAR34,98.15,96.3,97.22,0.83,98.33,96.67,1.0,0.0,1.0,1.0
LINEAR35,91.11,100.0,95.56,3.44,100.0,90.0,1.0,0.0,1.0,1.0
LINEAR36,81.11,100.0,90.56,4.71,100.0,86.67,1.0,0.0,1.0,1.0
LINEAR37,74.44,100.0,87.22,4.17,96.67,85.0,0.99,0.01,1.0,0.98
LINEAR38,70.74,89.26,80.0,4.17,85.0,73.33,0.85,0.05,0.95,0.78
LINEAR39,96.3,97.78,97.04,1.62,98.33,95.0,1.0,0.0,1.0,0.99
LINEAR40,64.44,97.04,80.74,2.22,85.0,78.33,0.98,0.02,0.99,0.93
LINEAR41,88.89,100.0,94.44,4.08,100.0,88.33,1.0,0.0,1.0,1.0
LINEAR42,94.81,100.0,97.41,2.52,100.0,93.33,1.0,0.0,1.0,1.0
LINEAR43,94.44,98.89,96.67,2.36,100.0,91.67,1.0,0.0,1.0,1.0
LINEAR44,88.15,100.0,94.07,4.8,100.0,86.67,1.0,0.0,1.0,1.0
LINEAR45,91.85,99.26,95.56,2.89,100.0,90.0,1.0,0.0,1.0,0.99
LINEAR46,78.89,95.93,87.41,3.74,96.67,85.0,0.92,0.04,1.0,0.86
LINEAR47,80.0,82.96,81.48,3.27,88.33,76.67,0.89,0.04,0.96,0.82
LINEAR48,39.26,99.26,69.26,9.06,91.67,60.0,0.99,0.01,1.0,0.97
LINEAR49,42.22,98.89,70.56,4.79,81.67,65.0,0.98,0.01,0.99,0.95
LINEAR50,94.81,100.0,97.41,2.06,100.0,93.33,1.0,0.0,1.0,1.0
LINEAR51,91.48,100.0,95.74,3.02,100.0,91.67,1.0,0.0,1.0,1.0
LINEAR52,90.74,100.0,95.37,3.09,100.0,90.0,1.0,0.0,1.0,1.0
LINEAR53,92.59,100.0,96.3,3.71,100.0,90.0,1.0,0.0,1.0,1.0
LINEAR54,87.41,96.3,91.85,4.89,98.33,83.33,0.98,0.0,0.99,0.98
LINEAR55,72.22,96.67,84.44,5.65,95.0,76.67,0.93,0.04,0.99,0.88
LINEAR56,78.52,100.0,89.26,3.45,95.0,83.33,1.0,0.0,1.0,0.99
LINEAR57,82.96,87.04,85.0,4.41,95.0,80.0,0.92,0.04,0.99,0.86
LINEAR58,97.41,92.59,95.0,1.67,96.67,91.67,0.99,0.01,1.0,0.98
LINEAR59,81.11,95.19,88.15,2.42,93.33,85.0,0.95,0.01,0.96,0.94
LINEAR60,87.04,92.22,89.63,6.71,95.0,73.33,0.98,0.01,0.98,0.96
LINEAR61,92.59,60.37,76.48,6.15,83.33,63.33,0.95,0.01,0.96,0.93
LINEAR62,73.7,98.89,86.3,4.55,96.67,81.67,1.0,0.0,1.0,0.98
LINEAR63,76.3,98.89,87.59,4.5,96.67,83.33,0.98,0.01,0.99,0.96
LINEAR64,72.59,92.22,82.41,1.69,85.0,80.0,0.92,0.01,0.93,0.9
LINEAR65,81.11,69.63,75.37,3.8,81.67,68.33,0.85,0.04,0.94,0.79
LINEAR66,76.3,82.59,79.44,3.0,83.33,73.33,0.88,0.02,0.91,0.84
LINEAR67,75.56,60.37,67.96,4.47,75.0,61.67,0.79,0.05,0.88,0.71
LINEAR68,75.93,58.52,67.22,4.25,73.33,58.33,0.73,0.01,0.75,0.72
LINEAR69,57.04,46.3,51.67,1.86,53.33,48.33,0.52,0.01,0.54,0.51
LINEAR70,47.78,62.96,55.37,2.74,56.67,48.33,0.64,0.01,0.66,0.63
LINEAR71,54.81,66.67,60.74,2.78,65.0,56.67,0.67,0.01,0.68,0.66
LINEAR72,41.85,65.19,53.52,3.17,60.0,50.0,0.55,0.02,0.57,0.51
LINEAR73,67.78,33.33,50.56,2.5,55.0,48.33,0.54,0.03,0.61,0.51
LINEAR74,56.3,52.22,54.26,2.37,56.67,50.0,0.57,0.03,0.6,0.5
LINEAR75,50.37,65.19,57.78,3.91,61.67,48.33,0.58,0.03,0.61,0.5
LINEAR76,97.04,75.19,86.11,9.86,91.67,61.67,0.98,0.01,0.99,0.97
LINEAR77,86.3,43.33,64.81,3.27,70.0,61.67,0.72,0.01,0.74,0.69
LINEAR78,51.11,82.59,66.85,3.86,73.33,60.0,0.83,0.01,0.85,0.8
LINEAR79,36.3,86.3,61.3,6.5,73.33,56.67,0.79,0.01,0.8,0.77
LINEAR80,72.22,40.0,56.11,6.35,66.67,48.33,0.66,0.02,0.68,0.61
LINEAR81,60.0,52.22,56.11,1.86,58.33,53.33,0.57,0.02,0.6,0.54
LINEAR82,57.41,44.81,51.11,1.86,55.0,48.33,0.5,0.02,0.52,0.45
LINEAR83,52.59,50.37,51.48,1.55,55.0,50.0,0.53,0.01,0.57,0.52
LINEAR84,97.04,40.37,68.7,6.28,75.0,58.33,0.82,0.03,0.85,0.74
LINEAR85,78.89,76.67,77.78,4.41,83.33,68.33,0.86,0.02,0.88,0.8
LINEAR86,57.04,70.37,63.7,4.91,68.33,51.67,0.68,0.03,0.73,0.61
LINEAR87,76.67,48.89,62.78,3.91,68.33,55.0,0.73,0.02,0.74,0.7
LINEAR88,57.41,59.26,58.33,2.89,63.33,53.33,0.61,0.02,0.63,0.57
LINEAR89,54.07,57.04,55.56,2.89,60.0,50.0,0.59,0.01,0.6,0.55
LINEAR90,46.67,93.7,70.19,6.59,81.67,61.67,0.91,0.01,0.92,0.88
