Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,98.89,30.37,64.63,3.8,71.67,61.67,0.86,0.01,0.87,0.85
RBF2,98.89,82.96,90.93,3.92,96.67,83.33,1.0,0.0,1.0,0.99
RBF3,81.48,54.81,68.15,2.82,71.67,65.0,0.8,0.02,0.84,0.77
RBF4,97.78,95.19,96.48,1.76,98.33,93.33,1.0,0.0,1.0,0.99
RBF5,81.48,79.26,80.37,3.09,86.67,75.0,0.89,0.02,0.92,0.86
RBF6,80.0,70.74,75.37,2.0,78.33,71.67,0.84,0.03,0.88,0.81
RBF7,99.26,93.33,96.3,1.82,98.33,93.33,0.99,0.0,1.0,0.99
RBF8,88.15,79.63,83.89,3.73,90.0,78.33,0.93,0.02,0.96,0.9
RBF9,85.93,69.63,77.78,5.0,85.0,70.0,0.89,0.02,0.92,0.86
RBF10,81.11,71.85,76.48,3.48,81.67,71.67,0.87,0.03,0.91,0.82
RBF11,73.7,72.96,73.33,1.86,76.67,71.67,0.84,0.03,0.88,0.79
RBF12,97.41,97.78,97.59,0.88,98.33,96.67,1.0,0.0,1.0,0.99
RBF13,87.04,99.26,93.15,2.69,98.33,90.0,0.98,0.02,1.0,0.96
RBF14,88.15,97.41,92.78,4.56,100.0,85.0,0.97,0.03,1.0,0.93
RBF15,90.74,91.48,91.11,4.41,96.67,81.67,0.96,0.03,1.0,0.92
RBF16,83.33,94.81,89.07,6.07,96.67,78.33,0.95,0.03,0.98,0.91
RBF17,68.89,73.7,71.3,3.89,76.67,65.0,0.84,0.02,0.87,0.81
RBF18,97.04,95.93,96.48,1.3,98.33,95.0,1.0,0.0,1.0,0.99
RBF19,85.93,100.0,92.96,1.39,95.0,91.67,0.98,0.02,1.0,0.96
RBF20,89.26,98.89,94.07,3.45,98.33,88.33,0.98,0.02,1.0,0.95
RBF21,88.52,94.07,91.3,3.51,95.0,85.0,0.97,0.03,0.99,0.92
RBF22,85.56,91.85,88.7,4.7,95.0,83.33,0.95,0.03,0.98,0.91
RBF23,72.22,85.56,78.89,5.95,88.33,73.33,0.88,0.05,0.94,0.82
RBF24,98.89,95.93,97.41,1.69,100.0,95.0,1.0,0.0,1.0,1.0
RBF25,85.56,97.78,91.67,1.67,95.0,90.0,0.98,0.02,1.0,0.94
RBF26,89.26,97.41,93.33,3.54,98.33,86.67,0.98,0.03,1.0,0.95
RBF27,87.78,96.67,92.22,3.33,96.67,86.67,0.97,0.03,1.0,0.92
RBF28,81.85,98.15,90.0,6.82,96.67,80.0,0.97,0.03,1.0,0.93
