Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC
QP50_QP10,88.35,10.95,0.985,QP50_QP10,83.93,13.68,0.9480000000000001,QP50_QP10,100.0,0.0,1.0
QP50_QP16,93.59,4.07,0.992,QP50_QP16,93.56,7.4,0.9869999999999999,QP50_QP16,100.0,0.0,1.0
QP50_QP20,96.26,3.37,0.9970000000000001,QP50_QP20,97.02,3.91,1.0,QP50_QP20,100.0,0.0,1.0
QP50_QP24,94.82,3.34,0.991,QP50_QP24,97.89,1.57,1.0,QP50_QP24,100.0,0.0,1.0
QP50_QP27,91.91,5.22,0.983,QP50_QP27,94.61,6.77,0.998,QP50_QP27,100.0,0.0,1.0
QP50_QP32,92.39,3.79,0.9789999999999999,QP50_QP32,92.02,6.94,0.994,QP50_QP32,100.0,0.0,1.0
QP50_QP39,91.44,4.72,0.968,QP50_QP39,90.29,5.87,0.985,QP50_QP39,100.0,0.0,1.0
QP50_QP42,86.65,4.04,0.953,QP50_QP42,86.28,5.11,0.974,QP50_QP42,100.0,0.0,1.0
QP50_QP45,82.89,5.49,0.915,QP50_QP45,81.2,4.86,0.923,QP50_QP45,98.33,1.76,0.99
QP5_QP5,86.7,5.42,0.959,QP5_QP5,89.52,3.29,0.9720000000000001,QP5_QP5,50.0,0.0,0.22400000000000003
QP10_QP10,79.08,4.89,0.883,QP10_QP10,78.63,5.44,0.881,QP10_QP10,50.67,0.86,0.317
QP16_QP16,82.5,4.12,0.9189999999999999,QP16_QP16,82.57,10.97,0.9550000000000001,QP16_QP16,50.17,0.53,0.29900000000000004
QP20_QP20,78.63,5.12,0.9029999999999999,QP20_QP20,80.35,9.44,0.951,QP20_QP20,51.0,0.86,0.36
QP24_QP24,77.58,5.37,0.8800000000000001,QP24_QP24,79.43,8.45,0.9339999999999999,QP24_QP24,51.5,1.23,0.41
QP27_QP27,75.0,4.12,0.843,QP27_QP27,78.2,5.92,0.893,QP27_QP27,50.5,0.81,0.343
QP32_QP32,75.61,5.86,0.8470000000000001,QP32_QP32,76.06,4.95,0.884,QP32_QP32,51.17,1.13,0.41899999999999993
QP39_QP39,76.04,3.55,0.858,QP39_QP39,77.55,4.74,0.881,QP39_QP39,61.83,2.41,0.5820000000000001
QP42_QP42,74.78,3.8,0.8300000000000001,QP42_QP42,74.94,5.52,0.842,QP42_QP42,63.33,3.14,0.617
QP45_QP45,71.13,4.96,0.7929999999999999,QP45_QP45,68.72,6.21,0.773,QP45_QP45,61.67,2.22,0.606
QP10_QP16,60.52,2.97,0.6679999999999999,QP10_QP16,61.11,4.29,0.697,QP10_QP16,52.5,1.41,0.487
QP10_QP20,56.54,2.92,0.633,QP10_QP20,58.04,3.92,0.667,QP10_QP20,53.17,1.46,0.479
QP10_QP24,55.7,3.14,0.597,QP10_QP24,56.13,2.77,0.629,QP10_QP24,54.5,1.37,0.5
QP10_QP27,53.89,3.68,0.556,QP10_QP27,55.95,4.8,0.5970000000000001,QP10_QP27,53.5,2.0,0.49399999999999994
QP10_QP32,51.8,2.86,0.534,QP10_QP32,55.72,4.16,0.579,QP10_QP32,54.67,1.72,0.516
QP10_QP39,52.37,2.48,0.534,QP10_QP39,52.85,3.67,0.5349999999999999,QP10_QP39,55.17,1.23,0.531
QP10_QP42,52.33,3.37,0.537,QP10_QP42,54.48,4.25,0.5640000000000001,QP10_QP42,54.33,1.96,0.491
QP10_QP45,49.11,2.25,0.496,QP10_QP45,51.37,4.84,0.522,QP10_QP45,54.5,1.76,0.505
QP15_QP16,71.74,5.11,0.8550000000000001,QP15_QP16,76.67,8.27,0.931,QP15_QP16,50.17,0.53,0.371
QP15_QP20,61.98,3.48,0.7030000000000001,QP15_QP20,68.72,5.02,0.788,QP15_QP20,53.83,1.58,0.483
QP15_QP24,61.39,3.96,0.6839999999999999,QP15_QP24,65.39,2.49,0.748,QP15_QP24,53.67,2.05,0.48599999999999993
QP15_QP27,58.5,3.63,0.636,QP15_QP27,61.85,4.54,0.696,QP15_QP27,53.67,1.31,0.489
QP15_QP32,53.2,3.47,0.588,QP15_QP32,58.74,3.38,0.65,QP15_QP32,54.17,2.51,0.509
QP15_QP39,56.35,2.32,0.576,QP15_QP39,55.0,3.14,0.569,QP15_QP39,54.66,1.72,0.518
QP15_QP42,54.28,3.91,0.556,QP15_QP42,53.91,5.56,0.5599999999999999,QP15_QP42,55.33,2.05,0.506
QP15_QP45,50.65,3.73,0.518,QP15_QP45,54.28,4.71,0.5469999999999999,QP15_QP45,55.33,2.33,0.523
QP20_QP24,61.24,2.14,0.687,QP20_QP24,64.89,4.58,0.752,QP20_QP24,53.17,2.0,0.471
QP20_QP27,63.44,5.27,0.7110000000000001,QP20_QP27,68.02,5.58,0.784,QP20_QP27,55.17,2.54,0.526
QP20_QP32,58.78,4.83,0.638,QP20_QP32,61.43,3.5,0.71,QP20_QP32,56.5,2.54,0.536
QP20_QP39,57.82,2.83,0.63,QP20_QP39,58.85,3.6,0.65,QP20_QP39,56.0,2.25,0.535
QP20_QP42,53.48,2.74,0.563,QP20_QP42,55.45,4.35,0.5940000000000001,QP20_QP42,56.67,1.92,0.534
QP20_QP45,51.26,2.69,0.531,QP20_QP45,53.09,3.77,0.5589999999999999,QP20_QP45,55.67,2.74,0.522
QP25_QP27,64.06,3.77,0.726,QP25_QP27,70.65,4.59,0.8099999999999999,QP25_QP27,56.67,1.76,0.5349999999999999
QP25_QP32,61.2,4.94,0.681,QP25_QP32,66.92,6.82,0.759,QP25_QP32,59.17,2.26,0.58
QP25_QP39,59.2,3.33,0.636,QP25_QP39,61.22,3.95,0.679,QP25_QP39,58.33,1.36,0.567
QP25_QP42,58.42,2.86,0.613,QP25_QP42,58.59,3.5,0.643,QP25_QP42,56.17,2.36,0.529
QP25_QP45,51.65,3.32,0.544,QP25_QP45,53.96,4.43,0.587,QP25_QP45,55.5,1.93,0.529
QP30_QP32,63.52,7.09,0.7230000000000001,QP30_QP32,66.59,6.89,0.8109999999999999,QP30_QP32,60.5,4.45,0.576
QP30_QP39,60.98,3.67,0.661,QP30_QP39,64.78,5.2,0.713,QP30_QP39,58.5,2.88,0.567
QP30_QP42,58.3,3.39,0.625,QP30_QP42,61.63,6.9,0.687,QP30_QP42,57.83,2.73,0.564
QP30_QP45,54.65,3.7,0.568,QP30_QP45,55.35,5.7,0.588,QP30_QP45,57.0,3.41,0.545
QP32_QP39,61.33,2.46,0.6679999999999999,QP32_QP39,64.21,6.12,0.733,QP32_QP39,61.5,2.54,0.608
QP32_QP42,57.96,2.7,0.625,QP32_QP42,61.43,4.44,0.686,QP32_QP42,58.5,4.04,0.5650000000000001
QP32_QP45,54.18,2.31,0.5900000000000001,QP32_QP45,55.0,2.52,0.599,QP32_QP45,57.17,1.93,0.546
QP35_QP39,61.78,3.63,0.697,QP35_QP39,65.35,5.18,0.729,QP35_QP39,62.17,3.05,0.594
QP35_QP42,60.87,3.12,0.667,QP35_QP42,64.54,5.65,0.735,QP35_QP42,59.5,2.61,0.583
QP35_QP45,55.13,4.02,0.591,QP35_QP45,57.13,3.1,0.63,QP35_QP45,59.33,2.74,0.5820000000000001
QP40_QP42,67.13,5.01,0.736,QP40_QP42,64.35,4.25,0.731,QP40_QP42,66.66,3.04,0.6649999999999999
QP40_QP45,56.78,5.49,0.6020000000000001,QP40_QP45,59.43,3.67,0.627,QP40_QP45,61.5,2.15,0.611
