Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,100.0,31.11,65.56,1.44,66.67,63.33,0.9,0.02,0.92,0.88
RBF2,100.0,84.07,92.04,2.0,95.0,88.33,0.99,0.01,1.0,0.96
RBF3,85.93,50.37,68.15,3.38,71.67,61.67,0.77,0.01,0.79,0.74
RBF4,99.26,93.7,96.48,1.76,98.33,93.33,1.0,0.0,1.0,1.0
RBF5,86.67,84.44,85.56,1.86,90.0,83.33,0.91,0.01,0.93,0.89
RBF6,81.11,61.85,71.48,2.69,76.67,68.33,0.79,0.01,0.81,0.77
RBF7,94.07,98.52,96.3,2.17,100.0,93.33,1.0,0.0,1.0,0.99
RBF8,95.19,91.48,93.33,3.12,98.33,88.33,0.99,0.01,1.0,0.98
RBF9,88.52,62.22,75.37,3.31,80.0,71.67,0.88,0.02,0.91,0.84
RBF10,95.19,58.15,76.67,4.49,81.67,70.0,0.92,0.01,0.94,0.89
RBF11,68.52,75.56,72.04,3.31,76.67,65.0,0.83,0.02,0.85,0.79
RBF12,88.89,97.41,93.15,3.17,98.33,90.0,0.99,0.0,1.0,0.98
RBF13,77.41,97.04,87.22,3.91,91.67,81.67,0.98,0.01,1.0,0.97
RBF14,90.0,97.78,93.89,2.04,98.33,91.67,0.98,0.02,1.0,0.95
RBF15,95.56,94.81,95.19,1.3,96.67,93.33,0.99,0.01,0.99,0.98
RBF16,75.19,92.22,83.7,2.47,88.33,80.0,0.95,0.02,0.97,0.92
RBF17,85.19,83.7,84.44,4.41,90.0,76.67,0.9,0.02,0.92,0.86
RBF18,97.04,95.93,96.48,2.82,100.0,90.0,1.0,0.01,1.0,0.98
RBF19,63.7,99.26,81.48,6.21,93.33,75.0,0.99,0.01,1.0,0.95
RBF20,91.48,97.78,94.63,1.62,98.33,93.33,0.99,0.01,1.0,0.96
RBF21,98.15,96.3,97.22,3.54,100.0,88.33,1.0,0.01,1.0,0.98
RBF22,82.22,98.89,90.56,2.2,93.33,86.67,0.98,0.02,0.99,0.94
RBF23,90.37,86.67,88.52,1.0,90.0,86.67,0.95,0.02,0.97,0.92
RBF24,97.04,98.15,97.59,2.52,100.0,91.67,1.0,0.0,1.0,0.99
RBF25,94.81,93.33,94.07,2.37,96.67,90.0,0.99,0.0,1.0,0.99
RBF26,90.74,97.04,93.89,2.04,98.33,91.67,0.98,0.01,1.0,0.97
RBF27,97.78,93.33,95.56,3.0,98.33,88.33,0.99,0.0,1.0,0.98
RBF28,87.04,94.44,90.74,2.22,93.33,86.67,0.98,0.01,0.99,0.95
RBF29,92.59,92.22,92.41,1.88,95.0,90.0,0.97,0.01,0.99,0.95
RBF30,96.3,52.22,74.26,3.02,78.33,70.0,0.93,0.01,0.94,0.9
RBF31,98.15,98.89,98.52,3.27,100.0,90.0,1.0,0.01,1.0,0.98
RBF32,82.22,97.41,89.81,2.12,93.33,86.67,0.99,0.01,1.0,0.97
RBF33,85.93,97.78,91.85,2.69,98.33,90.0,0.98,0.01,1.0,0.96
RBF34,98.15,98.89,98.52,2.69,100.0,91.67,1.0,0.0,1.0,0.99
RBF35,79.26,97.04,88.15,1.94,91.67,85.0,0.98,0.01,0.99,0.96
RBF36,91.48,95.56,93.52,2.56,96.67,90.0,0.97,0.02,1.0,0.94
RBF37,95.93,87.78,91.85,2.27,95.0,88.33,0.99,0.0,0.99,0.98
RBF38,92.59,64.81,78.7,4.23,83.33,71.67,0.92,0.02,0.95,0.88
RBF39,91.48,98.15,94.81,2.82,100.0,91.67,0.99,0.0,1.0,0.99
RBF40,79.26,99.63,89.44,3.23,93.33,83.33,1.0,0.0,1.0,0.99
RBF41,85.19,98.52,91.85,2.56,98.33,90.0,0.98,0.01,1.0,0.96
RBF42,98.15,99.26,98.7,2.74,100.0,91.67,1.0,0.0,1.0,0.99
RBF43,85.93,99.63,92.78,1.18,95.0,91.67,1.0,0.01,1.0,0.98
RBF44,92.59,99.63,96.11,1.44,98.33,93.33,0.98,0.01,1.0,0.96
RBF45,95.19,96.3,95.74,2.78,98.33,90.0,0.99,0.0,1.0,0.98
