Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,100.0,21.48,60.74,6.41,71.67,55.0,0.91,0.02,0.95,0.89
RBF2,100.0,90.74,95.37,2.32,96.67,90.0,1.0,0.0,1.0,1.0
RBF3,92.96,51.85,72.41,3.92,78.33,65.0,0.87,0.02,0.91,0.84
RBF4,88.15,98.15,93.15,1.94,96.67,90.0,0.99,0.01,1.0,0.98
RBF5,87.78,81.11,84.44,2.5,88.33,80.0,0.93,0.01,0.94,0.91
RBF6,77.04,81.48,79.26,1.47,81.67,76.67,0.88,0.01,0.9,0.86
RBF7,97.41,95.19,96.3,2.32,98.33,91.67,0.99,0.0,1.0,0.98
RBF8,94.44,89.26,91.85,1.94,95.0,90.0,0.98,0.01,0.99,0.96
RBF9,87.04,78.15,82.59,3.02,86.67,76.67,0.93,0.01,0.94,0.91
RBF10,92.96,61.11,77.04,3.31,81.67,71.67,0.92,0.02,0.94,0.89
RBF11,90.37,61.11,75.74,6.19,81.67,61.67,0.87,0.02,0.91,0.84
RBF12,98.89,98.15,98.52,2.27,100.0,93.33,1.0,0.0,1.0,0.99
RBF13,82.22,96.67,89.44,3.33,95.0,85.0,0.98,0.01,0.99,0.97
RBF14,76.3,99.63,87.96,3.98,95.0,81.67,0.99,0.01,0.99,0.97
RBF15,93.7,89.63,91.67,1.86,95.0,90.0,0.98,0.01,0.99,0.97
RBF16,90.0,91.11,90.56,5.07,95.0,80.0,0.97,0.02,0.99,0.93
RBF17,74.81,88.89,81.85,5.56,88.33,70.0,0.89,0.04,0.93,0.81
RBF18,97.41,95.56,96.48,2.12,98.33,91.67,1.0,0.0,1.0,0.99
RBF19,87.04,96.67,91.85,2.94,96.67,88.33,0.99,0.01,1.0,0.97
RBF20,85.93,99.26,92.59,4.01,98.33,86.67,0.99,0.01,1.0,0.97
RBF21,87.04,99.26,93.15,5.1,100.0,83.33,0.98,0.01,1.0,0.96
RBF22,85.19,95.19,90.19,5.98,95.0,80.0,0.97,0.02,0.99,0.94
RBF23,66.3,99.26,82.78,5.53,86.67,73.33,0.96,0.03,0.99,0.9
