Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,94.81,75.93,85.37,1.82,88.33,83.33,0.94,0.01,0.95,0.92
RBF2,99.63,92.59,96.11,2.76,98.33,91.67,0.98,0.01,0.99,0.97
RBF3,55.93,97.78,76.85,3.17,83.33,73.33,0.87,0.02,0.89,0.82
RBF4,100.0,95.56,97.78,1.18,98.33,95.0,0.99,0.0,1.0,0.99
RBF5,72.59,98.52,85.56,1.86,88.33,83.33,0.94,0.02,0.95,0.91
RBF6,88.89,48.89,68.89,2.2,71.67,65.0,0.83,0.01,0.85,0.8
RBF7,100.0,92.96,96.48,0.56,96.67,95.0,1.0,0.0,1.0,0.99
RBF8,80.37,95.93,88.15,2.12,90.0,83.33,0.96,0.01,0.97,0.94
RBF9,98.52,46.67,72.59,1.69,75.0,70.0,0.94,0.02,0.95,0.91
RBF10,79.63,79.26,79.44,2.04,81.67,76.67,0.86,0.02,0.88,0.82
RBF11,86.3,68.52,77.41,3.74,81.67,70.0,0.84,0.02,0.87,0.79
RBF12,100.0,94.07,97.04,0.73,98.33,96.67,0.99,0.0,0.99,0.99
RBF13,80.0,98.52,89.26,1.21,91.67,88.33,0.98,0.01,0.99,0.97
RBF14,99.63,78.89,89.26,4.42,95.0,85.0,0.99,0.02,1.0,0.96
RBF15,87.04,86.3,86.67,4.08,91.67,78.33,0.95,0.04,0.98,0.87
RBF16,89.26,79.63,84.44,3.54,88.33,80.0,0.92,0.05,0.96,0.83
RBF17,89.63,42.59,66.11,3.12,71.67,61.67,0.87,0.06,0.92,0.75
RBF18,100.0,95.56,97.78,0.83,98.33,96.67,1.0,0.0,1.0,0.99
RBF19,84.07,98.15,91.11,1.44,93.33,90.0,0.99,0.01,1.0,0.97
RBF20,100.0,89.26,94.63,3.2,96.67,88.33,1.0,0.01,1.0,0.99
RBF21,88.89,80.74,84.81,4.44,90.0,75.0,0.95,0.04,0.98,0.85
RBF22,92.96,73.7,83.33,5.83,90.0,71.67,0.93,0.06,0.98,0.82
