Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF,85.33,69.27,77.3,1.7,80.83,74.5
LINEAR,88.17,48.4,68.28,1.25,70.5,66.5
RBF2,77.5,75.53,76.52,4.24,83.17,66.83
LINEAR2,79.9,76.6,78.25,2.87,81.67,73.67
OLD,93.2,28.9,61.05,0.56,62.0,60.17
