Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,92.22,46.3,69.26,3.55,73.33,61.67
RBF2,98.15,87.78,92.96,4.06,96.67,83.33
RBF3,83.7,48.15,65.93,5.01,73.33,55.0
RBF4,96.67,96.3,96.48,4.52,100.0,85.0
RBF5,83.33,70.0,76.67,3.23,81.67,71.67
RBF6,88.15,58.15,73.15,6.03,80.0,61.67
RBF7,90.37,98.15,94.26,5.6,98.33,80.0
RBF8,75.56,91.11,83.33,6.12,88.33,70.0
RBF9,90.74,77.04,83.89,5.07,88.33,75.0
RBF10,79.63,84.44,82.04,4.39,88.33,73.33
RBF11,78.15,80.37,79.26,5.47,86.67,68.33
RBF12,98.52,92.59,95.56,3.54,100.0,88.33
RBF13,81.11,93.33,87.22,4.79,91.67,75.0
RBF14,92.22,87.41,89.81,2.69,95.0,86.67
RBF15,77.04,99.63,88.33,3.0,91.67,83.33
RBF16,78.52,97.78,88.15,3.86,91.67,80.0
RBF17,75.19,87.41,81.3,6.96,90.0,71.67
RBF18,96.67,99.26,97.96,3.71,100.0,88.33
RBF19,92.96,99.26,96.11,3.33,98.33,88.33
RBF20,91.48,91.48,91.48,2.69,93.33,85.0
RBF21,82.22,99.26,90.74,1.47,93.33,88.33
RBF22,83.33,97.78,90.56,2.64,93.33,85.0
RBF23,81.11,90.74,85.93,8.54,93.33,71.67
RBF24,98.52,99.63,99.07,2.78,100.0,91.67
RBF25,84.44,99.26,91.85,3.38,95.0,83.33
RBF26,88.89,96.67,92.78,2.04,96.67,90.0
RBF27,92.22,97.78,95.0,3.33,98.33,90.0
RBF28,85.56,97.04,91.3,3.98,95.0,81.67
RBF29,81.48,94.81,88.15,8.72,95.0,75.0
RBF30,91.48,63.33,77.41,6.62,83.33,61.67
RBF31,96.67,99.26,97.96,1.82,100.0,93.33
RBF32,89.63,98.52,94.07,2.9,96.67,86.67
RBF33,87.78,94.81,91.3,3.09,95.0,85.0
RBF34,95.19,97.41,96.3,2.98,98.33,90.0
RBF35,84.44,96.67,90.56,5.53,95.0,76.67
RBF36,83.7,94.07,88.89,8.9,96.67,75.0
RBF37,90.0,88.52,89.26,7.6,95.0,71.67
RBF38,67.78,87.41,77.59,8.7,85.0,61.67
RBF39,94.81,100.0,97.41,2.22,98.33,91.67
RBF40,89.26,99.63,94.44,1.86,96.67,90.0
RBF41,88.89,97.41,93.15,2.12,95.0,88.33
RBF42,94.44,97.41,95.93,2.65,98.33,91.67
RBF43,82.96,98.15,90.56,4.64,95.0,80.0
RBF44,82.96,94.81,88.89,10.07,98.33,73.33
RBF45,92.22,92.59,92.41,8.66,96.67,70.0
RBF46,78.15,93.7,85.93,9.69,96.67,70.0
RBF47,84.44,74.44,79.44,9.32,86.67,58.33
RBF48,96.3,100.0,98.15,1.0,100.0,96.67
RBF49,24.81,95.93,60.37,3.51,68.33,55.0
RBF50,80.74,96.3,88.52,2.12,91.67,86.67
RBF51,96.3,97.78,97.04,1.11,98.33,95.0
RBF52,85.19,99.63,92.41,1.69,95.0,90.0
RBF53,82.59,99.63,91.11,7.07,96.67,76.67
