Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
OLD53,100.0,100.0,100.0,0.0,100.0,100.0
OLD54,100.0,100.0,100.0,0.0,100.0,100.0
OLD55,100.0,100.0,100.0,0.0,100.0,100.0
OLD56,100.0,100.0,100.0,0.0,100.0,100.0
OLD57,96.67,100.0,98.33,0.0,98.33,98.33
OLD58,0.0,100.0,50.0,0.0,50.0,50.0
OLD59,0.0,100.0,50.0,0.0,50.0,50.0
OLD60,100.0,0.0,50.0,0.0,50.0,50.0
OLD61,96.67,3.33,50.0,0.0,50.0,50.0
OLD62,100.0,6.67,53.33,0.0,53.33,53.33
OLD63,0.0,100.0,50.0,0.0,50.0,50.0
OLD64,3.33,100.0,51.67,0.0,51.67,51.67
OLD65,56.67,60.0,58.33,0.0,58.33,58.33
OLD66,73.33,53.33,63.33,0.0,63.33,63.33
OLD67,56.67,73.33,65.0,0.0,65.0,65.0
OLD68,40.0,70.0,55.0,0.0,55.0,55.0
OLD69,30.0,73.33,51.67,0.0,51.67,51.67
OLD70,83.33,23.33,53.33,0.0,53.33,53.33
OLD71,36.67,70.0,53.33,0.0,53.33,53.33
OLD72,53.33,56.67,55.0,0.0,55.0,55.0
OLD73,56.67,50.0,53.33,0.0,53.33,53.33
OLD74,20.0,86.67,53.33,0.0,53.33,53.33
OLD75,16.67,90.0,53.33,0.0,53.33,53.33
OLD76,13.33,86.67,50.0,0.0,50.0,50.0
OLD77,76.67,30.0,53.33,0.0,53.33,53.33
OLD78,83.33,26.67,55.0,0.0,55.0,55.0
OLD79,43.33,66.67,55.0,0.0,55.0,55.0
OLD80,60.0,46.67,53.33,0.0,53.33,53.33
OLD81,63.33,43.33,53.33,0.0,53.33,53.33
OLD82,100.0,6.67,53.33,0.0,53.33,53.33
OLD83,56.67,60.0,58.33,0.0,58.33,58.33
OLD84,83.33,23.33,53.33,0.0,53.33,53.33
OLD85,36.67,76.67,56.67,0.0,56.67,56.67
OLD86,33.33,76.67,55.0,0.0,55.0,55.0
OLD87,6.67,100.0,53.33,0.0,53.33,53.33
OLD88,20.0,86.67,53.33,0.0,53.33,53.33
OLD89,56.67,56.67,56.67,0.0,56.67,56.67
OLD90,23.33,93.33,58.33,0.0,58.33,58.33
OLD91,20.0,86.67,53.33,0.0,53.33,53.33
OLD92,56.67,63.33,60.0,0.0,60.0,60.0
OLD93,30.0,76.67,53.33,0.0,53.33,53.33
OLD94,56.67,60.0,58.33,0.0,58.33,58.33
OLD95,33.33,86.67,60.0,0.0,60.0,60.0
OLD96,40.0,73.33,56.67,0.0,56.67,56.67
OLD97,86.67,23.33,55.0,0.0,55.0,55.0
OLD98,56.67,70.0,63.33,0.0,63.33,63.33
OLD99,23.33,93.33,58.33,0.0,58.33,58.33
OLD100,50.0,73.33,61.67,0.0,61.67,61.67
OLD101,23.33,90.0,56.67,0.0,56.67,56.67
OLD102,40.0,73.33,56.67,0.0,56.67,56.67
OLD103,60.0,63.33,61.67,0.0,61.67,61.67
OLD104,56.67,66.67,61.67,0.0,61.67,61.67
OLD105,60.0,73.33,66.67,0.0,66.67,66.67
OLD106,56.67,63.33,60.0,0.0,60.0,60.0
