Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,62.96,34.44,48.7,2.98,53.33,45.0,0.5,0.08,0.63,0.37
RBF2,72.96,29.63,51.3,7.4,60.0,38.33,0.59,0.12,0.75,0.37
RBF3,74.81,43.33,59.07,7.64,70.0,46.67,0.65,0.13,0.8,0.45
RBF4,74.44,38.89,56.67,8.42,66.67,46.67,0.68,0.14,0.87,0.48
RBF5,87.41,37.41,62.41,4.09,70.0,55.0,0.66,0.07,0.76,0.57
RBF6,67.04,32.59,49.81,5.03,55.0,41.67,0.61,0.1,0.76,0.43
RBF7,71.85,55.93,63.89,8.94,73.33,48.33,0.73,0.11,0.87,0.54
RBF8,92.59,42.22,67.41,3.83,71.67,61.67,0.83,0.09,0.96,0.67
RBF9,72.96,40.37,56.67,7.12,63.33,43.33,0.61,0.13,0.72,0.35
RBF10,75.93,47.04,61.48,3.86,66.67,53.33,0.67,0.09,0.8,0.53
RBF11,67.41,40.0,53.7,5.26,61.67,48.33,0.62,0.06,0.73,0.51
RBF12,79.26,100.0,89.63,8.57,98.33,75.0,0.93,0.05,0.97,0.86
RBF13,87.41,80.74,84.07,8.21,91.67,66.67,0.91,0.11,0.99,0.69
RBF14,74.44,75.19,74.81,8.99,83.33,56.67,0.8,0.15,0.91,0.5
RBF15,79.63,58.89,69.26,10.58,80.0,51.67,0.76,0.19,0.92,0.44
RBF16,72.59,42.22,57.41,6.51,66.67,43.33,0.67,0.11,0.79,0.45
RBF17,65.93,60.74,63.33,6.12,73.33,55.0,0.64,0.12,0.78,0.4
RBF18,72.22,99.26,85.74,9.97,98.33,68.33,0.93,0.05,0.97,0.8
RBF19,89.63,82.22,85.93,8.42,91.67,68.33,0.94,0.08,1.0,0.76
RBF20,74.81,88.89,81.85,9.15,90.0,65.0,0.84,0.15,0.96,0.55
RBF21,81.11,69.63,75.37,10.03,85.0,58.33,0.81,0.17,0.95,0.55
RBF22,83.33,58.15,70.74,6.19,78.33,58.33,0.81,0.11,0.93,0.55
RBF23,76.67,71.48,74.07,6.51,83.33,61.67,0.75,0.13,0.9,0.47
RBF24,72.59,99.26,85.93,9.86,98.33,66.67,0.93,0.06,0.97,0.79
RBF25,94.81,94.07,94.44,3.63,98.33,88.33,0.98,0.02,1.0,0.94
RBF26,76.67,97.78,87.22,9.97,96.67,68.33,0.89,0.13,0.98,0.62
RBF27,80.74,81.11,80.93,11.34,91.67,63.33,0.85,0.16,0.99,0.58
RBF28,72.59,49.63,61.11,6.12,68.33,46.67,0.7,0.11,0.83,0.5
RBF29,80.0,57.78,68.89,6.35,76.67,55.0,0.77,0.11,0.9,0.51
RBF30,67.04,74.07,70.56,5.53,78.33,63.33,0.78,0.09,0.9,0.6
RBF31,74.07,99.63,86.85,9.26,98.33,71.67,0.94,0.05,0.98,0.84
RBF32,96.67,95.56,96.11,2.5,98.33,91.67,0.98,0.02,1.0,0.94
RBF33,75.19,97.04,86.11,11.79,95.0,61.67,0.87,0.14,0.97,0.58
RBF34,83.33,95.56,89.44,8.66,96.67,75.0,0.91,0.08,0.97,0.77
RBF35,72.59,81.85,77.22,5.95,85.0,68.33,0.8,0.11,0.93,0.66
RBF36,81.11,71.48,76.3,8.89,86.67,56.67,0.84,0.09,0.93,0.62
RBF37,74.81,51.11,62.96,7.72,71.67,48.33,0.73,0.15,0.89,0.47
RBF38,71.48,54.81,63.15,6.09,78.33,60.0,0.66,0.1,0.83,0.47
RBF39,78.89,100.0,89.44,8.66,98.33,75.0,0.92,0.05,0.97,0.84
RBF40,92.22,91.48,91.85,6.03,96.67,76.67,0.98,0.03,1.0,0.9
RBF41,87.04,99.63,93.33,3.0,100.0,90.0,0.94,0.05,1.0,0.85
RBF42,80.74,96.67,88.7,11.14,98.33,70.0,0.89,0.14,1.0,0.64
RBF43,72.59,96.67,84.63,6.17,93.33,75.0,0.81,0.11,0.95,0.67
RBF44,81.85,73.33,77.59,7.22,83.33,60.0,0.85,0.1,0.92,0.61
RBF45,75.93,52.22,64.07,8.5,75.0,48.33,0.73,0.14,0.85,0.47
RBF46,84.07,86.3,85.19,8.88,93.33,66.67,0.88,0.12,0.99,0.63
RBF47,75.93,60.37,68.15,4.52,73.33,58.33,0.76,0.1,0.85,0.52
RBF48,82.59,100.0,91.3,8.45,98.33,73.33,0.94,0.04,0.97,0.85
RBF49,95.19,91.85,93.52,5.23,100.0,85.0,0.97,0.04,1.0,0.89
RBF50,84.07,90.0,87.04,10.47,96.67,66.67,0.91,0.13,0.99,0.63
RBF51,81.11,98.15,89.63,11.2,98.33,71.67,0.9,0.13,1.0,0.67
RBF52,72.96,98.89,85.93,7.08,95.0,75.0,0.84,0.11,0.97,0.7
RBF53,81.85,87.41,84.63,7.9,93.33,68.33,0.89,0.07,0.95,0.72
RBF54,76.67,67.41,72.04,10.03,83.33,55.0,0.8,0.15,0.93,0.51
RBF55,84.44,74.81,79.63,7.67,88.33,66.67,0.85,0.13,0.96,0.59
RBF56,87.04,51.11,69.07,6.41,75.0,55.0,0.85,0.12,0.95,0.59
RBF57,62.96,66.67,64.81,9.52,76.67,51.67,0.65,0.19,0.81,0.31
RBF58,62.96,50.37,56.67,6.92,65.0,45.0,0.6,0.1,0.74,0.47
RBF59,51.48,90.37,70.93,9.72,86.67,56.67,0.82,0.12,0.95,0.59
RBF60,55.93,74.44,65.19,8.31,75.0,51.67,0.68,0.14,0.83,0.43
RBF61,63.33,42.96,53.15,7.19,61.67,38.33,0.62,0.13,0.78,0.41
RBF62,74.07,27.04,50.56,3.73,58.33,46.67,0.63,0.06,0.75,0.56
RBF63,78.52,68.89,73.7,3.98,78.33,65.0,0.77,0.05,0.83,0.69
RBF64,62.96,55.93,59.44,5.0,66.67,51.67,0.63,0.07,0.74,0.54
RBF65,63.33,60.37,61.85,6.89,71.67,53.33,0.66,0.08,0.81,0.57
RBF66,75.93,61.48,68.7,7.35,78.33,56.67,0.75,0.1,0.89,0.62
RBF67,45.93,61.48,53.7,5.94,61.67,46.67,0.45,0.11,0.6,0.27
RBF68,51.85,48.15,50.0,2.64,55.0,46.67,0.47,0.05,0.54,0.4
RBF69,74.07,22.96,48.52,7.43,60.0,38.33,0.49,0.07,0.59,0.39
RBF70,77.78,28.15,52.96,3.8,58.33,48.33,0.56,0.03,0.61,0.53
RBF71,67.04,48.89,57.96,1.82,60.0,55.0,0.59,0.04,0.64,0.52
RBF72,45.19,54.81,50.0,3.73,55.0,45.0,0.52,0.04,0.56,0.45
RBF73,53.7,57.41,55.56,3.33,61.67,51.67,0.56,0.03,0.61,0.52
RBF74,71.85,27.04,49.44,3.91,55.0,45.0,0.5,0.04,0.56,0.45
RBF75,75.56,28.15,51.85,5.03,58.33,43.33,0.49,0.03,0.53,0.45
