Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC
QP50_QP5,94.85,2.51,0.9629999999999999,QP50_QP5,95.33,2.96,0.9810000000000001,QP50_QP5,100.0,0.0,1.0
QP50_QP10,96.33,1.66,0.983,QP50_QP10,92.46,4.65,0.9629999999999999,QP50_QP10,100.0,0.0,1.0
QP50_QP16,91.76,4.03,0.9390000000000001,QP50_QP16,90.61,5.09,0.99,QP50_QP16,100.0,0.0,1.0
QP50_QP20,89.44,3.75,0.907,QP50_QP20,96.52,3.44,0.999,QP50_QP20,100.0,0.0,1.0
QP50_QP24,86.52,4.4,0.892,QP50_QP24,95.68,2.48,1.0,QP50_QP24,100.0,0.0,1.0
QP50_QP27,85.67,5.91,0.881,QP50_QP27,95.81,3.29,0.9970000000000001,QP50_QP27,100.0,0.0,1.0
QP50_QP32,75.15,6.84,0.829,QP50_QP32,93.33,3.61,0.9960000000000001,QP50_QP32,100.0,0.0,1.0
QP50_QP39,70.7,11.33,0.834,QP50_QP39,93.46,2.88,0.9970000000000001,QP50_QP39,100.0,0.0,1.0
QP50_QP42,68.41,9.59,0.82,QP50_QP42,92.69,3.42,1.0,QP50_QP42,100.0,0.0,1.0
QP50_QP45,65.48,11.35,0.791,QP50_QP45,77.48,8.84,0.992,QP50_QP45,99.33,1.17,0.993
QP5_QP5,57.2,6.22,0.775,QP5_QP5,54.41,2.71,0.8470000000000001,QP5_QP5,50.0,0.0,0.223
QP10_QP10,59.22,8.83,0.774,QP10_QP10,51.43,1.27,0.883,QP10_QP10,50.33,0.7,0.313
QP16_QP16,52.78,7.17,0.744,QP16_QP16,50.5,0.78,0.9040000000000001,QP16_QP16,50.0,0.0,0.305
QP20_QP20,52.68,3.02,0.733,QP20_QP20,52.17,1.47,0.9259999999999999,QP20_QP20,50.83,1.18,0.34900000000000003
QP24_QP24,55.15,4.12,0.725,QP24_QP24,51.65,1.36,0.8699999999999999,QP24_QP24,52.34,1.16,0.437
QP27_QP27,67.35,4.46,0.746,QP27_QP27,53.89,3.71,0.782,QP27_QP27,50.84,0.88,0.341
QP32_QP32,61.04,7.43,0.688,QP32_QP32,51.72,1.27,0.8109999999999999,QP32_QP32,51.33,1.31,0.404
QP39_QP39,62.17,7.2,0.716,QP39_QP39,55.26,4.02,0.826,QP39_QP39,60.67,4.39,0.5720000000000001
QP42_QP42,60.81,5.28,0.726,QP42_QP42,54.48,4.05,0.8640000000000001,QP42_QP42,61.17,2.95,0.616
QP45_QP45,63.55,7.88,0.712,QP45_QP45,55.44,5.2,0.8160000000000001,QP45_QP45,63.17,3.55,0.624
QP10_QP16,48.63,2.79,0.507,QP10_QP16,50.32,1.0,0.592,QP10_QP16,53.83,1.13,0.487
QP10_QP20,49.04,1.55,0.525,QP10_QP20,50.04,0.7,0.553,QP10_QP20,52.67,1.4,0.48200000000000004
QP10_QP24,50.35,2.77,0.501,QP10_QP24,50.09,0.94,0.499,QP10_QP24,55.0,1.76,0.504
QP10_QP27,52.33,4.13,0.527,QP10_QP27,48.54,1.42,0.511,QP10_QP27,53.67,2.05,0.499
QP10_QP32,49.46,1.59,0.501,QP10_QP32,49.35,0.77,0.48100000000000004,QP10_QP32,54.0,1.41,0.499
QP10_QP39,49.56,3.86,0.484,QP10_QP39,49.89,1.85,0.487,QP10_QP39,54.67,2.92,0.517
QP10_QP42,49.35,2.03,0.497,QP10_QP42,50.46,1.59,0.535,QP10_QP42,54.0,1.17,0.513
QP10_QP45,49.8,4.25,0.488,QP10_QP45,50.8,0.82,0.488,QP10_QP45,55.83,2.64,0.52
QP15_QP16,47.11,4.46,0.599,QP15_QP16,50.72,0.87,0.774,QP15_QP16,50.0,0.0,0.367
QP15_QP20,50.41,1.51,0.528,QP15_QP20,50.39,0.72,0.5650000000000001,QP15_QP20,53.17,1.66,0.487
QP15_QP24,49.89,3.68,0.49400000000000005,QP15_QP24,49.94,1.21,0.45499999999999996,QP15_QP24,53.33,1.57,0.495
QP15_QP27,48.7,3.03,0.484,QP15_QP27,48.83,2.39,0.522,QP15_QP27,54.5,1.13,0.502
QP15_QP32,49.06,3.37,0.485,QP15_QP32,50.17,0.87,0.461,QP15_QP32,55.17,1.46,0.516
QP15_QP39,50.63,3.45,0.497,QP15_QP39,49.71,1.68,0.516,QP15_QP39,55.33,2.7,0.513
QP15_QP42,50.81,2.23,0.516,QP15_QP42,50.85,2.02,0.514,QP15_QP42,54.83,1.66,0.509
QP15_QP45,48.09,1.72,0.472,QP15_QP45,50.63,1.94,0.479,QP15_QP45,56.67,2.22,0.522
QP20_QP24,49.5,2.33,0.518,QP20_QP24,50.13,0.96,0.557,QP20_QP24,52.66,1.16,0.487
QP20_QP27,51.87,3.27,0.5309999999999999,QP20_QP27,51.17,1.94,0.604,QP20_QP27,55.67,1.41,0.524
QP20_QP32,50.22,2.42,0.485,QP20_QP32,49.68,0.56,0.514,QP20_QP32,55.33,1.89,0.531
QP20_QP39,50.37,3.37,0.51,QP20_QP39,50.28,1.04,0.568,QP20_QP39,56.16,2.23,0.529
QP20_QP42,48.94,2.28,0.469,QP20_QP42,50.98,0.81,0.5,QP20_QP42,54.83,1.23,0.527
QP20_QP45,50.52,3.94,0.506,QP20_QP45,50.02,1.88,0.505,QP20_QP45,56.67,3.04,0.526
QP25_QP27,51.96,3.62,0.541,QP25_QP27,51.04,1.43,0.6839999999999999,QP25_QP27,56.5,2.54,0.528
QP25_QP32,50.02,4.1,0.518,QP25_QP32,50.54,1.02,0.576,QP25_QP32,57.83,2.49,0.5740000000000001
QP25_QP39,49.93,4.25,0.5,QP25_QP39,51.0,1.07,0.562,QP25_QP39,58.33,2.22,0.552
QP25_QP42,50.11,1.82,0.522,QP25_QP42,49.5,0.82,0.553,QP25_QP42,54.67,1.72,0.515
QP25_QP45,49.7,2.8,0.508,QP25_QP45,51.33,2.04,0.556,QP25_QP45,57.0,2.58,0.534
QP30_QP32,50.67,4.97,0.5389999999999999,QP30_QP32,49.85,0.89,0.625,QP30_QP32,61.5,3.72,0.58
QP30_QP39,48.65,3.85,0.485,QP30_QP39,50.82,1.41,0.587,QP30_QP39,59.5,3.05,0.581
QP30_QP42,49.59,2.1,0.507,QP30_QP42,51.41,1.93,0.5549999999999999,QP30_QP42,57.83,2.36,0.562
QP30_QP45,50.02,3.21,0.514,QP30_QP45,50.37,1.55,0.52,QP30_QP45,56.83,2.28,0.545
QP32_QP39,49.72,4.57,0.491,QP32_QP39,51.78,1.28,0.587,QP32_QP39,62.0,2.7,0.635
QP32_QP42,49.37,3.37,0.493,QP32_QP42,51.52,1.89,0.5609999999999999,QP32_QP42,58.5,1.83,0.575
QP32_QP45,48.98,2.11,0.499,QP32_QP45,50.59,1.83,0.5439999999999999,QP32_QP45,59.33,3.78,0.5720000000000001
QP35_QP39,49.35,3.49,0.508,QP35_QP39,51.57,1.74,0.629,QP35_QP39,59.84,3.64,0.588
QP35_QP42,49.72,2.38,0.526,QP35_QP42,51.43,1.76,0.597,QP35_QP42,58.34,2.72,0.583
QP35_QP45,49.87,2.45,0.518,QP35_QP45,49.94,1.42,0.5599999999999999,QP35_QP45,60.67,3.06,0.591
QP40_QP42,52.24,5.25,0.584,QP40_QP42,52.93,3.52,0.762,QP40_QP42,66.17,3.85,0.682
QP40_QP45,49.44,2.92,0.5,QP40_QP45,50.76,1.98,0.526,QP40_QP45,62.5,2.26,0.616
