Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF,84.03,71.3,77.67,0.75,78.83,76.83
LINEAR,79.33,57.37,68.35,1.12,69.67,66.83
RBF2,84.97,79.73,82.35,1.22,83.83,80.0
LINEAR2,81.83,81.13,81.48,1.88,84.17,78.67
OLD,89.17,32.2,60.68,0.87,62.17,59.5
