Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
LINEAR59,75.56,90.74,83.15,2.94,86.67,78.33
LINEAR60,46.67,100.0,73.33,8.25,88.33,65.0
LINEAR61,70.74,98.52,84.63,3.98,90.0,78.33
LINEAR62,60.37,99.26,79.81,4.96,88.33,75.0
LINEAR63,53.33,99.26,76.3,6.0,85.0,70.0
LINEAR64,69.63,92.59,81.11,1.67,85.0,80.0
LINEAR65,72.96,92.96,82.96,2.32,86.67,80.0
LINEAR66,89.63,71.85,80.74,2.78,83.33,75.0
LINEAR67,64.81,85.56,75.19,2.82,80.0,70.0
LINEAR68,26.67,82.22,54.44,4.25,61.67,50.0
LINEAR69,34.81,77.41,56.11,2.89,61.67,53.33
LINEAR70,51.85,56.3,54.07,1.88,56.67,51.67
LINEAR71,20.74,81.85,51.3,1.82,55.0,50.0
LINEAR72,35.93,70.0,52.96,1.62,55.0,50.0
LINEAR73,42.96,74.44,58.7,2.0,61.67,55.0
LINEAR74,44.44,61.85,53.15,2.12,56.67,50.0
LINEAR75,61.11,51.11,56.11,3.0,60.0,51.67
LINEAR76,29.63,95.93,62.78,6.07,76.67,58.33
LINEAR77,36.3,85.56,60.93,5.01,70.0,55.0
LINEAR78,72.96,71.11,72.04,3.2,76.67,66.67
LINEAR79,45.56,78.52,62.04,3.41,68.33,56.67
LINEAR80,28.52,71.11,49.81,3.48,56.67,46.67
LINEAR81,65.56,51.11,58.33,1.67,61.67,56.67
LINEAR82,78.52,41.48,60.0,2.04,63.33,56.67
LINEAR83,50.37,55.56,52.96,0.73,53.33,51.67
LINEAR84,74.07,63.7,68.89,3.23,73.33,61.67
LINEAR85,45.93,81.48,63.7,3.71,70.0,58.33
LINEAR86,45.56,84.81,65.19,3.77,70.0,58.33
LINEAR87,68.89,58.89,63.89,1.44,65.0,61.67
LINEAR88,59.63,55.93,57.78,2.64,63.33,55.0
LINEAR89,61.11,62.22,61.67,1.67,65.0,60.0
LINEAR90,67.04,82.59,74.81,3.95,78.33,65.0
LINEAR91,61.48,89.63,75.56,3.82,80.0,70.0
LINEAR92,62.59,76.3,69.44,3.0,75.0,66.67
LINEAR93,69.63,51.85,60.74,4.65,66.67,51.67
LINEAR94,35.56,82.22,58.89,3.12,65.0,53.33
LINEAR95,66.67,87.78,77.22,1.18,78.33,75.0
LINEAR96,71.48,80.0,75.74,1.47,76.67,73.33
LINEAR97,42.22,81.85,62.04,2.0,65.0,58.33
LINEAR98,52.96,75.19,64.07,2.06,68.33,61.67
LINEAR99,75.19,64.81,70.0,2.64,73.33,65.0
