Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,83.7,13.33,48.52,2.82,55.0,45.0
RBF2,87.04,74.81,80.93,2.22,85.0,78.33
RBF3,88.15,22.59,55.37,13.3,83.33,43.33
RBF4,84.07,81.85,82.96,2.74,86.67,78.33
RBF5,87.78,37.41,62.59,6.93,75.0,56.67
RBF6,82.59,31.85,57.22,6.29,68.33,50.0
RBF7,85.56,88.52,87.04,2.17,88.33,83.33
RBF8,84.07,70.37,77.22,3.82,81.67,68.33
RBF9,84.07,42.59,63.33,2.64,66.67,60.0
RBF10,85.56,28.89,57.22,5.59,65.0,51.67
RBF11,84.81,22.59,53.7,4.23,58.33,46.67
RBF12,84.07,87.41,85.74,2.06,88.33,81.67
RBF13,81.48,90.74,86.11,6.01,93.33,78.33
RBF14,83.7,79.63,81.67,8.7,91.67,66.67
RBF15,84.44,74.81,79.63,9.04,90.0,65.0
RBF16,84.07,62.59,73.33,9.57,85.0,58.33
RBF17,82.59,38.15,60.37,6.05,66.67,46.67
RBF18,83.7,90.0,86.85,2.94,91.67,83.33
RBF19,75.93,91.48,83.7,6.0,93.33,75.0
RBF20,83.33,77.04,80.19,9.18,93.33,65.0
RBF21,84.07,75.19,79.63,11.39,93.33,61.67
RBF22,83.7,65.19,74.44,12.19,88.33,55.0
RBF23,83.33,53.33,68.33,12.5,81.67,46.67
RBF24,83.7,93.33,88.52,3.86,93.33,81.67
RBF25,74.07,95.19,84.63,6.28,93.33,73.33
RBF26,82.96,87.41,85.19,6.94,93.33,73.33
RBF27,81.85,81.11,81.48,9.98,91.67,63.33
RBF28,82.22,78.52,80.37,12.66,93.33,58.33
RBF29,82.59,70.0,76.3,13.06,90.0,55.0
RBF30,84.44,35.93,60.19,6.48,68.33,50.0
RBF31,68.15,93.33,80.74,4.01,86.67,75.0
RBF32,72.22,97.41,84.81,5.8,91.67,75.0
RBF33,82.59,85.93,84.26,7.22,93.33,68.33
RBF34,81.85,82.22,82.04,9.92,93.33,63.33
RBF35,82.59,79.26,80.93,10.54,91.67,63.33
RBF36,83.33,78.15,80.74,10.14,91.67,63.33
RBF37,83.7,72.96,78.33,12.42,91.67,55.0
RBF38,83.33,33.7,58.52,7.97,68.33,46.67
RBF39,77.78,91.11,84.44,4.49,88.33,76.67
RBF40,75.93,97.04,86.48,5.03,91.67,76.67
RBF41,81.85,85.93,83.89,7.59,93.33,70.0
RBF42,81.48,85.93,83.7,9.64,93.33,63.33
RBF43,82.22,86.67,84.44,7.77,93.33,70.0
RBF44,82.22,89.63,85.93,7.87,93.33,73.33
RBF45,83.7,84.07,83.89,8.74,91.67,70.0
RBF46,84.07,76.67,80.37,10.47,90.0,61.67
RBF47,83.33,66.3,74.81,7.52,81.67,60.0
RBF48,68.52,92.22,80.37,5.51,86.67,71.67
RBF49,66.67,96.67,81.67,8.08,90.0,68.33
RBF50,80.37,88.89,84.63,7.4,91.67,70.0
RBF51,80.74,93.33,87.04,7.85,93.33,71.67
RBF52,81.11,94.81,87.96,6.5,93.33,75.0
RBF53,73.33,91.11,82.22,5.53,88.33,70.0
RBF54,79.26,94.07,86.67,8.66,93.33,68.33
RBF55,77.04,89.26,83.15,8.64,91.67,63.33
RBF56,82.96,84.44,83.7,10.5,91.67,63.33
RBF57,82.59,79.63,81.11,11.3,90.0,65.0
RBF58,81.48,5.19,43.33,3.44,51.67,40.0
RBF59,84.81,25.93,55.37,12.01,75.0,43.33
RBF60,82.22,29.26,55.74,9.21,70.0,43.33
RBF61,82.59,27.78,55.19,7.84,68.33,43.33
RBF62,84.07,22.96,53.52,3.77,58.33,45.0
RBF63,84.81,17.78,51.3,4.15,58.33,46.67
RBF64,84.07,25.93,55.0,5.4,61.67,45.0
RBF65,82.59,42.22,62.41,8.21,70.0,50.0
RBF66,84.07,41.85,62.96,7.67,71.67,51.67
RBF67,84.44,46.67,65.56,4.86,71.67,58.33
RBF68,82.22,22.22,52.22,5.07,60.0,46.67
RBF69,80.37,21.85,51.11,4.33,56.67,43.33
RBF70,83.33,13.7,48.52,2.27,51.67,45.0
RBF71,82.22,12.59,47.41,4.09,53.33,40.0
RBF72,81.11,20.74,50.93,5.21,58.33,43.33
RBF73,81.85,22.59,52.22,7.73,60.0,40.0
RBF74,77.41,22.59,50.0,7.59,58.33,38.33
RBF75,84.44,19.63,52.04,4.39,56.67,43.33
RBF76,86.3,22.22,54.26,11.03,76.67,43.33
RBF77,82.96,25.56,54.26,5.53,60.0,45.0
RBF78,82.59,21.85,52.22,4.56,58.33,43.33
RBF79,81.85,19.26,50.56,4.71,55.0,43.33
RBF80,78.89,25.19,52.04,3.8,56.67,45.0
RBF81,77.78,24.81,51.3,6.66,58.33,40.0
RBF82,79.63,17.04,48.33,4.56,53.33,38.33
RBF83,74.07,24.81,49.44,6.51,58.33,38.33
