Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std
RBF1,74.55,6.97,LINEAR1,80.68,11.58,OLD1,57.04,3.89
RBF2,90.68,4.86,LINEAR2,89.67,7.46,OLD2,85.37,4.06
RBF3,65.43,5.37,LINEAR3,67.51,8.17,OLD3,51.3,1.11
RBF4,93.52,4.22,LINEAR4,91.4,9.53,OLD4,85.19,2.94
RBF5,79.69,7.19,LINEAR5,80.27,10.24,OLD5,78.52,4.96
RBF6,78.27,3.61,LINEAR6,72.53,10.54,OLD6,53.33,2.2
RBF7,94.26,2.76,LINEAR7,90.93,5.33,OLD7,94.44,2.04
RBF8,80.21,7.1,LINEAR8,81.93,11.17,OLD8,94.07,3.55
RBF9,81.42,6.22,LINEAR9,75.06,8.05,OLD9,77.22,4.93
RBF10,76.63,6.12,LINEAR10,73.75,10.5,OLD10,70.18,4.89
RBF11,73.27,6.56,LINEAR11,73.19,11.82,OLD11,59.07,2.37
RBF12,95.78,1.94,LINEAR12,87.47,7.49,OLD12,99.63,0.74
RBF13,86.23,7.82,LINEAR13,89.26,8.31,OLD13,100.0,0.0
RBF14,88.99,7.43,LINEAR14,89.86,9.82,OLD14,99.44,1.18
RBF15,87.33,5.95,LINEAR15,89.75,6.18,OLD15,99.26,0.88
RBF16,84.34,4.72,LINEAR16,84.24,7.46,OLD16,99.63,0.74
RBF17,78.91,4.02,LINEAR17,74.32,9.21,OLD17,89.63,2.61
RBF18,96.15,2.28,LINEAR18,88.66,8.6,OLD18,100.0,0.0
RBF19,86.65,9.53,LINEAR19,88.27,10.79,OLD19,100.0,0.0
RBF20,90.14,5.48,LINEAR20,91.11,8.15,OLD20,99.81,0.56
RBF21,87.33,5.06,LINEAR21,89.4,6.35,OLD21,99.63,0.74
RBF22,85.33,5.34,LINEAR22,88.77,5.25,OLD22,99.63,0.74
RBF23,82.55,3.88,LINEAR23,83.19,8.14,OLD23,98.89,1.18
