Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,100.0,59.26,79.63,2.17,81.67,75.0
RBF2,100.0,80.0,90.0,2.89,95.0,85.0
RBF3,93.7,43.7,68.7,3.09,73.33,63.33
RBF4,100.0,90.74,95.37,2.86,100.0,91.67
RBF5,96.67,64.81,80.74,3.34,85.0,75.0
RBF6,92.96,70.74,81.85,4.96,86.67,73.33
RBF7,99.26,96.67,97.96,1.11,98.33,95.0
RBF8,93.7,71.11,82.41,4.42,88.33,75.0
RBF9,94.07,75.19,84.63,4.31,88.33,76.67
RBF10,94.81,58.15,76.48,3.58,81.67,71.67
RBF11,72.96,78.52,75.74,2.06,80.0,73.33
RBF12,97.78,98.52,98.15,2.69,100.0,91.67
RBF13,90.0,90.37,90.19,3.67,95.0,83.33
RBF14,95.19,93.7,94.44,5.77,100.0,81.67
RBF15,89.26,84.81,87.04,2.74,91.67,83.33
RBF16,70.74,91.11,80.93,3.55,85.0,75.0
RBF17,73.7,88.15,80.93,3.64,83.33,73.33
RBF18,99.63,95.56,97.59,1.21,100.0,96.67
RBF19,95.56,78.89,87.22,3.73,93.33,81.67
RBF20,94.81,86.3,90.56,4.79,96.67,80.0
RBF21,89.63,89.26,89.44,2.76,95.0,86.67
RBF22,70.0,88.89,79.44,3.91,85.0,73.33
RBF23,75.93,89.26,82.59,1.47,85.0,80.0
RBF24,99.63,100.0,99.81,0.56,100.0,98.33
RBF25,82.59,92.59,87.59,2.52,91.67,85.0
RBF26,94.81,93.7,94.26,3.83,98.33,88.33
RBF27,94.81,88.89,91.85,2.56,95.0,88.33
RBF28,69.63,97.78,83.7,2.47,86.67,80.0
RBF29,82.22,95.19,88.7,3.89,91.67,80.0
RBF30,94.44,44.44,69.44,4.25,75.0,63.33
RBF31,97.78,95.19,96.48,2.69,100.0,90.0
RBF32,94.81,85.56,90.19,2.94,95.0,85.0
RBF33,96.3,90.0,93.15,4.89,96.67,83.33
RBF34,96.67,88.52,92.59,2.65,95.0,88.33
RBF35,74.44,96.3,85.37,4.55,90.0,75.0
RBF36,82.22,97.04,89.63,2.98,91.67,83.33
