Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std
QP42_QP42,74.92,5.34,QP42_QP42,72.35,6.17,QP42_QP42,60.67,2.96
QP45_QP45,74.91,3.08,QP45_QP45,70.37,5.6,QP45_QP45,60.0,3.85
QP10_QP16,60.17,3.47,QP10_QP16,59.02,4.8,QP10_QP16,54.0,1.17
QP10_QP20,55.85,2.96,QP10_QP20,57.91,1.54,QP10_QP20,53.33,2.22
QP10_QP24,53.33,2.82,QP10_QP24,55.33,3.18,QP10_QP24,54.83,2.0
QP10_QP27,54.15,2.81,QP10_QP27,55.59,2.99,QP10_QP27,53.5,2.41
QP10_QP32,52.96,2.77,QP10_QP32,54.06,5.09,QP10_QP32,54.83,2.28
QP10_QP39,53.78,2.65,QP10_QP39,54.67,3.93,QP10_QP39,55.0,2.22
QP10_QP42,52.35,2.47,QP10_QP42,51.89,2.69,QP10_QP42,53.67,1.53
QP10_QP45,50.76,3.51,QP10_QP45,51.63,3.8,QP10_QP45,54.83,1.46
QP15_QP16,74.0,6.23,QP15_QP16,76.45,7.48,QP15_QP16,50.17,0.53
QP15_QP20,59.33,4.65,QP15_QP20,66.17,8.04,QP15_QP20,53.67,1.89
QP15_QP24,57.76,3.43,QP15_QP24,64.74,6.68,QP15_QP24,53.33,1.36
QP15_QP27,57.92,1.95,QP15_QP27,61.56,4.21,QP15_QP27,55.17,2.28
QP15_QP32,55.72,3.75,QP15_QP32,58.85,5.04,QP15_QP32,54.83,2.66
QP15_QP39,56.8,2.69,QP15_QP39,55.65,3.38,QP15_QP39,55.17,2.88
QP15_QP42,52.39,3.89,QP15_QP42,52.98,5.09,QP15_QP42,55.0,2.36
QP15_QP45,51.32,2.62,QP15_QP45,54.46,3.09,QP15_QP45,55.83,1.97
QP20_QP24,58.35,3.84,QP20_QP24,62.72,7.7,QP20_QP24,53.5,1.23
QP20_QP27,63.68,3.78,QP20_QP27,68.04,3.27,QP20_QP27,55.83,2.26
QP20_QP32,58.18,3.56,QP20_QP32,63.96,3.66,QP20_QP32,56.17,2.09
QP20_QP39,57.17,3.73,QP20_QP39,59.39,3.07,QP20_QP39,55.67,2.63
