Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,96.67,51.11,73.89,4.79,81.67,66.67
RBF2,98.52,76.3,87.41,2.52,91.67,83.33
RBF3,72.59,62.59,67.59,4.26,75.0,61.67
RBF4,100.0,80.37,90.19,2.82,96.67,88.33
RBF5,86.67,82.96,84.81,3.86,90.0,78.33
RBF6,73.33,85.56,79.44,5.4,85.0,70.0
RBF7,99.26,90.37,94.81,2.42,100.0,91.67
RBF8,90.0,76.67,83.33,4.56,88.33,76.67
RBF9,86.3,80.0,83.15,3.48,86.67,78.33
RBF10,70.37,95.56,82.96,7.58,91.67,71.67
RBF11,65.56,92.59,79.07,4.57,85.0,73.33
RBF12,99.26,99.26,99.26,1.21,100.0,96.67
RBF13,89.26,98.89,94.07,4.8,98.33,86.67
RBF14,88.89,95.56,92.22,5.53,96.67,85.0
RBF15,81.11,94.07,87.59,6.51,96.67,78.33
RBF16,75.93,92.96,84.44,8.66,93.33,70.0
RBF17,68.52,94.44,81.48,9.26,90.0,68.33
RBF18,98.89,97.04,97.96,1.11,100.0,96.67
RBF19,91.11,96.3,93.7,4.31,96.67,86.67
RBF20,89.26,95.56,92.41,5.78,98.33,83.33
RBF21,81.11,91.48,86.3,6.91,95.0,76.67
RBF22,72.59,95.19,83.89,7.26,93.33,71.67
RBF23,75.56,94.07,84.81,7.14,95.0,73.33
RBF24,99.26,98.52,98.89,1.67,100.0,95.0
RBF25,88.15,95.56,91.85,3.95,96.67,86.67
RBF26,92.59,92.59,92.59,4.8,98.33,85.0
RBF27,85.93,92.22,89.07,6.19,96.67,80.0
RBF28,80.37,91.48,85.93,5.9,93.33,78.33
RBF29,72.59,96.3,84.44,8.82,96.67,71.67
RBF30,70.74,87.78,79.26,8.66,90.0,66.67
RBF31,98.89,99.26,99.07,0.88,100.0,98.33
RBF32,95.19,97.04,96.11,2.5,98.33,90.0
RBF33,91.85,94.44,93.15,5.36,98.33,85.0
RBF34,89.63,98.15,93.89,5.71,100.0,85.0
RBF35,73.33,97.41,85.37,5.32,96.67,78.33
RBF36,70.0,98.52,84.26,8.66,96.67,73.33
RBF37,75.93,96.3,86.11,10.14,98.33,68.33
RBF38,77.04,80.0,78.52,13.32,91.67,60.0
RBF39,98.89,100.0,99.44,0.83,100.0,98.33
RBF40,91.48,98.89,95.19,4.52,98.33,85.0
RBF41,85.93,99.63,92.78,6.18,100.0,83.33
RBF42,70.37,100.0,85.19,8.6,100.0,73.33
RBF43,74.07,99.26,86.67,6.56,96.67,76.67
RBF44,70.0,99.63,84.81,7.04,95.0,73.33
RBF45,80.0,100.0,90.0,5.59,98.33,81.67
RBF46,78.52,99.26,88.89,13.44,100.0,70.0
RBF47,67.78,82.22,75.0,13.18,88.33,53.33
RBF48,99.26,99.63,99.44,0.83,100.0,98.33
RBF49,88.52,99.63,94.07,3.55,98.33,88.33
RBF50,70.37,100.0,85.19,6.43,100.0,78.33
