Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,66.3,80.74,73.52,3.77,80.0,70.0
RBF2,79.63,100.0,89.81,4.52,93.33,80.0
RBF3,23.7,91.48,57.59,2.06,60.0,53.33
RBF4,69.26,100.0,84.63,4.47,90.0,78.33
RBF5,31.11,100.0,65.56,1.86,70.0,63.33
RBF6,94.81,64.81,79.81,3.95,83.33,71.67
RBF7,87.41,97.78,92.59,3.34,95.0,85.0
RBF8,36.67,100.0,68.33,1.86,71.67,65.0
RBF9,94.44,82.59,88.52,3.95,91.67,80.0
RBF10,74.44,88.15,81.3,3.41,85.0,75.0
RBF11,85.19,72.22,78.7,2.86,83.33,75.0
RBF12,90.0,100.0,95.0,3.0,96.67,88.33
RBF13,40.74,100.0,70.37,3.41,76.67,66.67
RBF14,91.48,97.78,94.63,3.41,98.33,88.33
RBF15,76.67,99.63,88.15,2.27,90.0,85.0
RBF16,85.56,97.78,91.67,3.12,96.67,88.33
RBF17,89.63,79.63,84.63,2.0,88.33,81.67
RBF18,87.04,100.0,93.52,5.03,96.67,83.33
RBF19,37.78,100.0,68.89,3.23,75.0,65.0
RBF20,83.7,98.89,91.3,4.77,96.67,83.33
RBF21,83.33,97.41,90.37,2.74,95.0,86.67
RBF22,90.0,99.63,94.81,1.55,98.33,93.33
RBF23,83.7,95.19,89.44,2.5,93.33,86.67
RBF24,81.85,100.0,90.93,4.5,95.0,81.67
RBF25,34.07,100.0,67.04,1.62,68.33,65.0
RBF26,95.93,99.26,97.59,2.9,100.0,93.33
RBF27,76.3,96.3,86.3,2.74,90.0,81.67
RBF28,95.56,97.78,96.67,1.86,98.33,93.33
RBF29,92.22,90.37,91.3,1.82,95.0,88.33
RBF30,82.22,68.52,75.37,2.47,78.33,71.67
RBF31,92.22,100.0,96.11,2.76,98.33,90.0
RBF32,35.93,99.26,67.59,1.21,68.33,65.0
RBF33,93.7,100.0,96.85,2.82,100.0,91.67
RBF34,81.11,99.26,90.19,2.42,93.33,85.0
RBF35,94.07,99.26,96.67,1.18,98.33,95.0
RBF36,90.74,97.78,94.26,1.88,98.33,91.67
RBF37,83.33,92.59,87.96,2.17,91.67,85.0
RBF38,83.7,90.0,86.85,4.96,90.0,76.67
RBF39,88.89,100.0,94.44,3.82,98.33,86.67
RBF40,37.78,100.0,68.89,2.76,75.0,65.0
RBF41,90.37,99.63,95.0,4.25,100.0,86.67
RBF42,80.37,100.0,90.19,2.69,93.33,85.0
RBF43,92.59,100.0,96.3,1.62,98.33,93.33
RBF44,90.74,99.63,95.19,1.76,96.67,91.67
RBF45,91.48,95.19,93.33,2.2,98.33,91.67
RBF46,86.67,97.41,92.04,3.71,95.0,83.33
RBF47,87.41,92.96,90.19,2.42,95.0,86.67
RBF48,77.78,100.0,88.89,7.95,95.0,70.0
RBF49,29.26,99.26,64.26,2.37,66.67,60.0
RBF50,94.44,100.0,97.22,3.44,100.0,90.0
RBF51,76.3,100.0,88.15,2.27,90.0,83.33
RBF52,91.48,100.0,95.74,1.21,96.67,93.33
RBF53,92.59,100.0,96.3,1.11,98.33,95.0
RBF54,85.93,100.0,92.96,2.0,96.67,90.0
RBF55,85.56,100.0,92.78,2.5,95.0,86.67
RBF56,86.67,100.0,93.33,1.67,95.0,91.67
RBF57,64.07,99.63,81.85,2.82,86.67,76.67
RBF58,64.81,98.15,81.48,3.38,86.67,78.33
RBF59,28.89,99.63,64.26,1.69,66.67,61.67
RBF60,80.74,95.56,88.15,3.77,91.67,80.0
RBF61,80.37,88.52,84.44,3.23,88.33,78.33
RBF62,89.63,78.52,84.07,4.01,88.33,78.33
RBF63,77.04,78.89,77.96,4.31,81.67,68.33
RBF64,83.7,67.04,75.37,5.32,81.67,66.67
RBF65,83.7,84.44,84.07,2.06,86.67,80.0
RBF66,83.33,76.3,79.81,3.58,85.0,75.0
RBF67,63.33,86.3,74.81,3.17,80.0,70.0
RBF68,81.11,50.37,65.74,2.52,70.0,63.33
RBF69,68.89,45.93,57.41,1.47,60.0,55.0
RBF70,73.33,34.44,53.89,1.18,55.0,51.67
RBF71,53.7,54.07,53.89,3.33,61.67,50.0
RBF72,71.85,31.48,51.67,4.0,60.0,48.33
RBF73,82.96,27.78,55.37,1.39,58.33,53.33
RBF74,70.0,37.78,53.89,2.04,58.33,51.67
RBF75,48.89,35.93,42.41,3.92,48.33,38.33
RBF76,83.33,87.41,85.37,5.32,90.0,73.33
RBF77,58.15,67.78,62.96,2.74,66.67,56.67
RBF78,72.59,48.15,60.37,4.47,68.33,53.33
RBF79,56.3,55.19,55.74,4.5,65.0,51.67
RBF80,68.15,35.56,51.85,3.38,56.67,46.67
RBF81,81.48,34.44,57.96,2.86,63.33,55.0
RBF82,46.3,57.78,52.04,3.98,56.67,45.0
RBF83,51.48,47.04,49.26,4.01,56.67,43.33
RBF84,73.7,44.44,59.07,2.78,65.0,55.0
RBF85,55.93,61.85,58.89,2.2,63.33,56.67
RBF86,67.41,40.74,54.07,4.26,61.67,50.0
