Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,81.85,3.33,42.59,3.83,46.67,35.0
RBF2,89.26,26.67,57.96,3.51,61.67,51.67
RBF3,83.7,15.93,49.81,3.77,56.67,46.67
RBF4,97.04,56.67,76.85,7.09,85.0,63.33
RBF5,81.11,15.56,48.33,4.41,53.33,40.0
RBF6,87.41,10.37,48.89,3.12,55.0,45.0
RBF7,97.41,80.0,88.7,4.06,96.67,83.33
RBF8,86.3,38.89,62.59,6.19,73.33,53.33
RBF9,88.15,18.89,53.52,2.94,56.67,48.33
RBF10,90.74,35.93,63.33,2.89,66.67,58.33
RBF11,72.96,19.63,46.3,4.98,55.0,40.0
RBF12,92.59,98.89,95.74,2.52,100.0,91.67
RBF13,94.44,93.33,93.89,3.33,98.33,88.33
RBF14,88.15,89.26,88.7,3.31,93.33,83.33
RBF15,91.11,81.11,86.11,1.67,88.33,83.33
RBF16,77.41,71.11,74.26,10.04,90.0,63.33
RBF17,84.44,63.7,74.07,6.93,81.67,63.33
RBF18,97.41,98.89,98.15,3.27,100.0,91.67
RBF19,94.81,95.93,95.37,4.62,100.0,88.33
RBF20,88.15,93.7,90.93,2.9,95.0,86.67
RBF21,91.11,92.22,91.67,2.04,93.33,88.33
RBF22,77.41,66.67,72.04,7.94,86.67,65.0
RBF23,85.56,65.56,75.56,10.31,86.67,61.67
RBF24,97.04,99.63,98.33,2.2,100.0,93.33
RBF25,94.07,99.63,96.85,3.77,100.0,88.33
RBF26,88.15,98.52,93.33,2.89,96.67,88.33
RBF27,91.85,91.11,91.48,4.6,96.67,81.67
RBF28,78.15,75.56,76.85,5.68,86.67,70.0
RBF29,86.3,68.89,77.59,8.9,90.0,63.33
RBF30,64.44,36.3,50.37,5.7,58.33,38.33
RBF31,91.11,100.0,95.56,2.36,98.33,90.0
RBF32,96.67,99.26,97.96,2.86,100.0,91.67
RBF33,90.0,96.67,93.33,3.63,98.33,85.0
RBF34,91.48,97.04,94.26,4.72,98.33,85.0
RBF35,78.52,84.07,81.3,4.77,91.67,76.67
RBF36,85.93,65.19,75.56,8.46,91.67,65.0
RBF37,57.41,55.56,56.48,13.0,76.67,41.67
RBF38,84.07,40.0,62.04,4.39,68.33,53.33
RBF39,94.07,100.0,97.04,2.17,100.0,93.33
