Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std
QP42_QP42,60.74,6.04,QP42_QP42,56.09,5.09,QP42_QP42,62.5,2.52
QP45_QP45,63.33,11.86,QP45_QP45,55.09,4.2,QP45_QP45,63.17,3.28
QP10_QP16,47.8,2.74,QP10_QP16,50.09,0.66,QP10_QP16,52.84,1.58
QP10_QP20,49.85,2.75,QP10_QP20,50.22,0.52,QP10_QP20,52.33,1.4
QP10_QP24,49.31,3.32,QP10_QP24,50.2,0.96,QP10_QP24,54.67,2.05
QP10_QP27,50.3,2.58,QP10_QP27,50.67,1.01,QP10_QP27,53.83,1.93
QP10_QP32,50.02,3.38,QP10_QP32,50.02,0.84,QP10_QP32,54.83,1.83
QP10_QP39,49.54,1.98,QP10_QP39,49.89,1.8,QP10_QP39,55.67,2.39
QP10_QP42,52.5,1.69,QP10_QP42,49.74,1.09,QP10_QP42,53.33,1.57
QP10_QP45,49.56,3.31,QP10_QP45,50.94,1.91,QP10_QP45,56.5,2.28
QP15_QP16,47.59,5.3,QP15_QP16,50.39,1.3,QP15_QP16,50.0,0.0
QP15_QP20,49.7,2.4,QP15_QP20,50.96,1.13,QP15_QP20,53.67,1.53
QP15_QP24,50.3,2.95,QP15_QP24,50.39,1.73,QP15_QP24,53.0,1.05
QP15_QP27,51.18,3.78,QP15_QP27,50.15,1.64,QP15_QP27,55.17,1.84
QP15_QP32,49.89,4.2,QP15_QP32,49.81,0.91,QP15_QP32,55.33,2.7
QP15_QP39,50.85,2.89,QP15_QP39,49.8,1.49,QP15_QP39,55.17,2.14
QP15_QP42,52.2,2.41,QP15_QP42,51.13,2.5,QP15_QP42,53.83,1.58
QP15_QP45,48.52,3.21,QP15_QP45,50.54,1.42,QP15_QP45,56.17,1.93
QP20_QP24,50.13,1.47,QP20_QP24,50.76,1.19,QP20_QP24,52.83,1.93
QP20_QP27,51.44,1.81,QP20_QP27,51.37,1.68,QP20_QP27,56.5,2.0
QP20_QP32,50.39,3.62,QP20_QP32,50.59,1.82,QP20_QP32,55.0,2.61
QP20_QP39,49.83,2.34,QP20_QP39,49.91,1.48,QP20_QP39,55.33,3.02
QP20_QP42,50.83,4.15,QP20_QP42,50.85,1.08,QP20_QP42,55.5,2.23
QP20_QP45,50.15,3.23,QP20_QP45,50.05,2.1,QP20_QP45,55.0,2.94
QP25_QP27,51.22,2.11,QP25_QP27,53.61,3.26,QP25_QP27,56.67,1.57
QP25_QP32,50.81,3.7,QP25_QP32,50.15,1.91,QP25_QP32,58.17,2.42
QP25_QP39,49.09,2.22,QP25_QP39,50.28,1.67,QP25_QP39,57.5,2.12
QP25_QP42,51.61,3.28,QP25_QP42,49.87,1.72,QP25_QP42,55.83,1.62
QP25_QP45,50.17,3.67,QP25_QP45,50.87,2.12,QP25_QP45,57.34,3.62
QP30_QP32,48.42,4.23,QP30_QP32,50.71,2.26,QP30_QP32,61.34,4.22
QP30_QP39,49.58,1.41,QP30_QP39,50.78,0.85,QP30_QP39,57.67,2.63
QP30_QP42,50.67,3.18,QP30_QP42,50.06,1.99,QP30_QP42,58.33,2.22
QP30_QP45,51.2,4.45,QP30_QP45,49.32,1.44,QP30_QP45,57.5,2.51
QP32_QP39,50.24,2.83,QP32_QP39,50.59,1.92,QP32_QP39,61.83,2.88
QP32_QP42,50.63,3.71,QP32_QP42,51.69,2.21,QP32_QP42,58.33,1.76
QP32_QP45,50.54,3.14,QP32_QP45,50.69,2.67,QP32_QP45,58.0,3.12
QP35_QP39,48.52,4.73,QP35_QP39,52.02,1.89,QP35_QP39,60.0,3.14
QP35_QP42,51.65,2.64,QP35_QP42,50.98,1.71,QP35_QP42,61.0,3.87
QP35_QP45,50.92,1.5,QP35_QP45,49.22,1.21,QP35_QP45,60.83,3.62
QP40_QP42,51.41,5.8,QP40_QP42,52.05,2.32,QP40_QP42,66.83,2.88
QP40_QP45,51.13,3.35,QP40_QP45,51.32,1.09,QP40_QP45,62.67,3.16
