Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,94.81,15.93,55.37,2.98,58.33,51.67
RBF2,98.15,37.41,67.78,3.63,73.33,61.67
RBF3,77.41,35.19,56.3,3.8,61.67,51.67
RBF4,97.78,35.19,66.48,1.0,68.33,65.0
RBF5,83.33,10.37,46.85,7.47,55.0,33.33
RBF6,81.85,20.74,51.3,3.31,56.67,46.67
RBF7,97.78,45.19,71.48,5.23,85.0,68.33
RBF8,87.41,24.07,55.74,5.84,65.0,48.33
RBF9,90.0,25.56,57.78,3.44,61.67,51.67
RBF10,94.44,22.22,58.33,2.2,61.67,55.0
RBF11,87.41,13.7,50.56,3.63,55.0,45.0
RBF12,96.67,98.89,97.78,1.86,100.0,93.33
RBF13,85.19,57.78,71.48,8.01,85.0,58.33
RBF14,89.63,68.89,79.26,6.93,91.67,71.67
RBF15,75.56,25.56,50.56,10.37,75.0,38.33
RBF16,88.89,69.26,79.07,2.06,81.67,76.67
RBF17,89.63,45.56,67.59,6.51,75.0,60.0
RBF18,98.15,100.0,99.07,1.69,100.0,95.0
RBF19,75.56,81.85,78.7,10.63,90.0,63.33
RBF20,89.63,77.41,83.52,8.1,96.67,75.0
RBF21,77.78,40.37,59.07,10.84,85.0,48.33
RBF22,88.89,59.63,74.26,3.64,81.67,70.0
RBF23,90.37,51.85,71.11,5.0,76.67,65.0
RBF24,96.67,98.89,97.78,1.86,100.0,93.33
RBF25,88.89,98.15,93.52,5.36,100.0,86.67
RBF26,89.63,91.85,90.74,5.01,96.67,80.0
RBF27,76.3,63.7,70.0,8.33,86.67,60.0
RBF28,88.89,69.63,79.26,5.41,91.67,73.33
RBF29,91.11,49.63,70.37,6.28,85.0,63.33
RBF30,82.22,27.78,55.0,4.25,65.0,50.0
RBF31,96.67,100.0,98.33,2.2,100.0,93.33
RBF32,88.89,100.0,94.44,4.93,100.0,86.67
RBF33,89.63,99.26,94.44,3.23,98.33,90.0
RBF34,76.3,90.74,83.52,6.53,93.33,75.0
RBF35,88.89,77.04,82.96,4.39,93.33,76.67
RBF36,91.48,55.93,73.7,7.06,88.33,66.67
RBF37,79.63,26.67,53.15,6.79,68.33,43.33
RBF38,85.93,49.26,67.59,5.14,76.67,60.0
RBF39,96.67,99.26,97.96,2.0,100.0,93.33
RBF40,77.78,100.0,88.89,6.01,98.33,81.67
RBF41,89.63,99.26,94.44,3.54,98.33,88.33
RBF42,77.41,99.26,88.33,5.59,98.33,80.0
RBF43,88.89,91.11,90.0,6.35,96.67,78.33
RBF44,90.37,67.78,79.07,8.21,98.33,73.33
RBF45,79.26,28.89,54.07,9.02,75.0,41.67
RBF46,83.7,27.41,55.56,11.21,78.33,40.0
RBF47,93.7,14.81,54.26,3.55,61.67,51.67
RBF48,96.67,100.0,98.33,2.2,100.0,93.33
RBF49,77.78,100.0,88.89,5.53,96.67,81.67
RBF50,89.26,97.04,93.15,4.12,98.33,88.33
RBF51,76.67,95.56,86.11,7.22,98.33,78.33
RBF52,89.26,94.07,91.67,4.41,96.67,85.0
RBF53,89.26,90.74,90.0,5.83,96.67,81.67
RBF54,79.63,49.26,64.44,9.17,80.0,46.67
RBF55,84.07,42.59,63.33,9.43,83.33,53.33
RBF56,92.22,22.22,57.22,6.97,73.33,48.33
RBF57,93.33,25.93,59.63,5.64,71.67,51.67
RBF58,91.11,41.48,66.3,4.7,73.33,60.0
RBF59,75.93,67.78,71.85,4.12,78.33,66.67
RBF60,70.37,82.22,76.3,6.66,88.33,65.0
RBF61,76.3,24.44,50.37,5.19,61.67,45.0
RBF62,87.41,24.81,56.11,1.18,58.33,55.0
RBF63,90.37,60.37,75.37,5.94,83.33,66.67
RBF64,73.7,28.15,50.93,3.34,55.0,46.67
RBF65,88.15,38.52,63.33,0.83,65.0,61.67
RBF66,92.22,24.81,58.52,1.55,61.67,56.67
RBF67,95.19,7.41,51.3,1.39,53.33,50.0
RBF68,71.11,29.63,50.37,2.47,53.33,46.67
RBF69,71.11,21.85,46.48,5.23,55.0,40.0
RBF70,85.56,13.7,49.63,1.39,51.67,48.33
RBF71,88.52,16.67,52.59,2.78,56.67,48.33
RBF72,82.96,6.67,44.81,3.48,51.67,41.67
RBF73,86.3,11.85,49.07,2.78,51.67,43.33
RBF74,90.37,11.11,50.74,2.22,53.33,46.67
RBF75,88.89,0.0,44.44,0.83,45.0,43.33
RBF76,81.11,12.96,47.04,4.77,53.33,40.0
RBF77,79.63,17.78,48.7,4.06,55.0,43.33
RBF78,85.19,14.07,49.63,1.11,51.67,48.33
RBF79,85.93,15.56,50.74,2.37,55.0,46.67
RBF80,80.37,11.48,45.93,1.88,48.33,43.33
RBF81,85.19,22.59,53.89,3.54,61.67,50.0
RBF82,92.22,8.52,50.37,1.62,53.33,48.33
