Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std
RBF_LQP1,86.72,5.53,LINEAR_LQP1,84.11,8.37,OLD_LQP1,87.08,0.98
RBF_SQP,82.04,4.71,LINEAR_SQP,81.96,5.35,OLD_SQP,50.67,0.46
RBF_LQP2,63.58,3.72,LINEAR_LQP2,64.0,3.66,OLD_LQP2,57.5,1.02
