Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF_LQP1,82.44,96.48,89.46,1.07,90.5,87.83
RBF_SQP,93.22,70.7,81.96,2.14,84.17,77.17
RBF_LQP2,86.37,40.89,63.63,1.25,65.67,62.0
LINEAR_LQP1,79.22,97.0,88.11,1.45,90.5,85.83
LINEAR_SQP,89.0,74.04,81.52,3.41,85.0,75.0
LINEAR_LQP2,76.07,51.74,63.91,0.95,65.17,62.17
OLD_LQP1,91.0,80.0,85.5,0.0,85.5,85.5
OLD_SQP,39.67,61.33,50.5,0.0,50.5,50.5
OLD_LQP2,31.67,79.67,55.67,0.0,55.67,55.67
