Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
OLD17,0.0,0.0,55.0,0.0,55.0,55.0,0.18,0.0,0.18,0.18
OLD18,0.0,0.0,50.0,0.0,50.0,50.0,0.29,0.0,0.29,0.29
OLD19,0.0,0.0,60.0,0.0,60.0,60.0,0.38,0.0,0.38,0.38
OLD20,0.0,0.0,55.0,0.0,55.0,55.0,0.48,0.0,0.48,0.48
OLD21,0.0,0.0,55.0,0.0,55.0,55.0,0.48,0.0,0.48,0.48
OLD22,0.0,0.0,55.0,0.0,55.0,55.0,0.4,0.0,0.4,0.4
OLD23,0.0,0.0,60.0,0.0,60.0,60.0,0.5,0.0,0.49,0.49
OLD24,0.0,0.0,55.0,0.0,55.0,55.0,0.5,0.0,0.49,0.49
OLD25,0.0,0.0,50.0,0.0,50.0,50.0,0.16,0.0,0.16,0.16
OLD26,0.0,0.0,50.0,0.0,50.0,50.0,0.33,0.0,0.33,0.33
OLD27,0.0,0.0,50.0,0.0,50.0,50.0,0.31,0.0,0.3,0.3
