Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF1,59.0,82.0,70.5,6.43,75.0,55.0,0.74,0.04,0.79,0.7
RBF2,59.0,87.0,73.0,5.37,80.0,60.0,0.85,0.06,0.94,0.76
RBF3,42.0,89.0,65.5,3.69,70.0,60.0,0.83,0.03,0.88,0.78
RBF4,59.0,60.0,59.5,10.39,70.0,40.0,0.59,0.1,0.73,0.48
RBF5,59.0,98.0,78.5,6.26,85.0,65.0,0.9,0.03,0.95,0.84
RBF6,42.0,100.0,71.0,3.16,75.0,65.0,0.95,0.04,1.0,0.88
RBF7,73.0,58.0,65.5,9.56,80.0,50.0,0.68,0.06,0.76,0.56
RBF8,73.0,88.0,80.5,8.96,90.0,70.0,0.88,0.05,0.95,0.8
RBF9,100.0,75.0,87.5,4.86,95.0,80.0,1.0,0.0,1.0,0.99
RBF10,59.0,79.0,69.0,6.58,75.0,55.0,0.79,0.07,0.88,0.71
RBF11,42.0,90.0,66.0,3.16,70.0,60.0,0.83,0.03,0.87,0.79
RBF12,83.0,92.0,87.5,3.54,95.0,85.0,0.96,0.02,0.98,0.93
RBF13,59.0,65.0,62.0,6.75,70.0,50.0,0.62,0.1,0.75,0.47
RBF14,42.0,60.0,51.0,4.59,60.0,45.0,0.53,0.05,0.61,0.47
RBF15,83.0,96.0,89.5,4.38,95.0,85.0,0.98,0.01,0.99,0.96
RBF16,73.0,32.0,52.5,6.35,60.0,40.0,0.61,0.04,0.69,0.54
RBF17,100.0,12.0,56.0,3.16,60.0,50.0,0.79,0.03,0.83,0.73
RBF18,78.0,86.0,82.0,6.32,90.0,70.0,0.86,0.03,0.9,0.81
RBF19,42.0,76.0,59.0,3.16,65.0,55.0,0.64,0.03,0.68,0.6
RBF20,83.0,52.0,67.5,6.35,80.0,60.0,0.81,0.03,0.87,0.77
RBF21,83.0,67.0,75.0,5.27,85.0,70.0,0.82,0.03,0.85,0.76
RBF22,42.0,60.0,51.0,6.58,60.0,40.0,0.51,0.05,0.62,0.43
RBF23,83.0,60.0,71.5,7.09,85.0,65.0,0.85,0.03,0.89,0.81
RBF24,83.0,65.0,74.0,6.58,85.0,70.0,0.86,0.03,0.92,0.82
RBF25,100.0,10.0,55.0,2.36,60.0,50.0,0.65,0.02,0.69,0.61
RBF26,78.0,2.0,40.0,3.33,45.0,35.0,0.57,0.04,0.66,0.5
RBF27,78.0,18.0,48.0,5.87,60.0,40.0,0.64,0.05,0.73,0.56
LINEAR1,45.0,93.0,69.0,2.11,70.0,65.0,0.78,0.03,0.81,0.72
LINEAR2,45.0,100.0,72.5,2.64,75.0,70.0,0.96,0.02,0.98,0.93
LINEAR3,51.0,100.0,75.5,5.5,85.0,70.0,0.95,0.02,0.98,0.93
LINEAR4,45.0,90.0,67.5,2.64,70.0,65.0,0.78,0.06,0.85,0.69
LINEAR5,45.0,100.0,72.5,2.64,75.0,70.0,0.95,0.02,0.97,0.92
LINEAR6,51.0,100.0,75.5,5.5,85.0,70.0,0.92,0.01,0.94,0.91
LINEAR7,19.0,90.0,54.5,4.38,60.0,50.0,0.68,0.02,0.71,0.64
LINEAR8,19.0,100.0,59.5,4.38,65.0,55.0,0.99,0.0,1.0,0.99
LINEAR9,94.0,89.0,91.5,2.42,95.0,90.0,0.99,0.0,0.99,0.99
LINEAR10,45.0,96.0,70.5,4.97,75.0,60.0,0.88,0.06,0.95,0.78
LINEAR11,51.0,90.0,70.5,5.5,80.0,65.0,0.9,0.03,0.92,0.85
LINEAR12,64.0,100.0,82.0,2.58,85.0,80.0,1.0,0.0,1.0,1.0
LINEAR13,45.0,77.0,61.0,2.11,65.0,60.0,0.6,0.03,0.64,0.57
LINEAR14,51.0,50.0,50.5,5.5,60.0,45.0,0.57,0.02,0.6,0.55
