Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF_LQP1,89.85,94.11,91.98,0.59,93.0,91.33
RBF_SQP,89.85,91.26,90.56,0.78,91.5,89.17
RBF_LQP2,89.85,45.7,67.78,0.99,68.67,66.0
LINEAR_LQP1,85.0,94.3,89.65,0.31,90.33,89.33
LINEAR_SQP,85.0,93.81,89.41,0.59,90.0,88.0
LINEAR_LQP2,85.0,49.56,67.28,0.64,68.17,66.5
OLD_LQP1,86.0,85.33,85.67,0.0,85.67,85.67
OLD_SQP,0.0,100.0,50.0,0.0,50.0,50.0
OLD_LQP2,32.33,80.67,56.5,0.0,56.5,56.5
