Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF,73.67,74.57,74.12,4.47,79.67,63.67
LINEAR,73.67,71.1,72.38,6.18,78.5,58.0
Only Ghost and RBF,71.47,74.2,72.83,5.34,78.5,62.83
Only Ghost and LINEAR,73.2,71.6,72.4,5.66,78.17,58.83
OLD,87.27,31.57,59.42,0.46,60.0,58.67
