Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std
QP42_QP42,59.24,8.21,QP42_QP42,52.52,2.15,QP42_QP42,61.67,2.36
QP45_QP45,61.33,9.14,QP45_QP45,52.7,3.47,QP45_QP45,62.17,3.43
QP10_QP16,48.89,4.18,QP10_QP16,49.89,0.35,QP10_QP16,54.0,1.79
QP10_QP20,49.02,1.62,QP10_QP20,50.59,0.8,QP10_QP20,52.67,1.61
QP10_QP24,49.74,1.68,QP10_QP24,49.67,0.73,QP10_QP24,54.0,1.79
QP10_QP27,51.17,2.28,QP10_QP27,49.63,0.71,QP10_QP27,54.0,1.41
QP10_QP32,50.18,2.19,QP10_QP32,49.48,0.69,QP10_QP32,53.5,1.66
QP10_QP39,50.89,2.1,QP10_QP39,50.28,1.58,QP10_QP39,54.83,2.0
QP10_QP42,50.8,2.9,QP10_QP42,50.74,1.24,QP10_QP42,55.33,2.33
QP10_QP45,51.35,2.99,QP10_QP45,50.35,0.7,QP10_QP45,55.33,2.81
QP15_QP16,46.37,5.11,QP15_QP16,50.82,1.25,QP15_QP16,50.33,0.7
QP15_QP20,50.17,3.25,QP15_QP20,50.84,0.88,QP15_QP20,52.67,1.79
QP15_QP24,50.06,1.39,QP15_QP24,49.82,1.8,QP15_QP24,53.83,1.77
QP15_QP27,50.78,2.17,QP15_QP27,50.28,1.37,QP15_QP27,53.66,1.32
QP15_QP32,49.13,2.37,QP15_QP32,50.13,0.41,QP15_QP32,55.17,1.46
QP15_QP39,49.94,4.17,QP15_QP39,50.13,1.37,QP15_QP39,54.83,1.23
QP15_QP42,50.55,1.91,QP15_QP42,51.37,1.59,QP15_QP42,54.0,2.63
QP15_QP45,50.35,2.45,QP15_QP45,50.2,0.95,QP15_QP45,55.83,1.18
QP20_QP24,49.69,2.08,QP20_QP24,50.37,0.69,QP20_QP24,53.33,1.57
QP20_QP27,51.2,3.81,QP20_QP27,50.67,0.86,QP20_QP27,56.33,2.33
QP20_QP32,49.07,3.61,QP20_QP32,50.2,1.15,QP20_QP32,56.0,2.63
QP20_QP39,52.72,2.42,QP20_QP39,50.0,0.75,QP20_QP39,55.33,2.19
QP20_QP42,49.81,3.25,QP20_QP42,50.46,0.84,QP20_QP42,54.5,3.24
QP20_QP45,51.31,2.95,QP20_QP45,49.83,0.56,QP20_QP45,56.5,2.14
QP25_QP27,53.44,3.49,QP25_QP27,50.33,1.45,QP25_QP27,55.84,1.96
QP25_QP32,49.06,3.34,QP25_QP32,50.13,0.89,QP25_QP32,58.33,2.6
QP25_QP39,49.18,2.96,QP25_QP39,50.82,0.95,QP25_QP39,59.33,3.26
QP25_QP42,49.11,3.11,QP25_QP42,50.32,0.67,QP25_QP42,55.17,2.54
QP25_QP45,49.72,1.84,QP25_QP45,50.54,1.36,QP25_QP45,56.67,1.57
QP30_QP32,48.89,4.14,QP30_QP32,49.65,0.76,QP30_QP32,60.67,2.63
QP30_QP39,49.83,3.03,QP30_QP39,51.1,0.75,QP30_QP39,57.0,2.81
QP30_QP42,51.04,2.17,QP30_QP42,50.43,1.05,QP30_QP42,57.83,2.36
QP30_QP45,50.44,1.77,QP30_QP45,50.46,1.09,QP30_QP45,57.5,2.52
QP32_QP39,50.44,2.61,QP32_QP39,50.96,1.13,QP32_QP39,60.67,3.35
QP32_QP42,51.0,2.04,QP32_QP42,51.63,2.5,QP32_QP42,58.33,2.36
QP32_QP45,50.87,2.86,QP32_QP45,50.35,1.57,QP32_QP45,57.83,2.94
QP35_QP39,50.69,3.82,QP35_QP39,51.74,2.67,QP35_QP39,59.17,3.07
QP35_QP42,52.87,2.76,QP35_QP42,51.15,1.35,QP35_QP42,59.0,2.51
QP35_QP45,51.5,2.68,QP35_QP45,49.67,1.06,QP35_QP45,59.83,2.66
QP40_QP42,54.48,7.93,QP40_QP42,52.78,3.1,QP40_QP42,65.0,1.92
QP40_QP45,51.28,3.81,QP40_QP45,51.37,0.93,QP40_QP45,61.83,3.28
