Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF_LQP1,84.48,95.89,90.19,1.73,92.0,86.67
RBF_SQP,84.48,86.81,85.65,1.78,87.33,81.67
RBF_LQP2,84.48,56.0,70.24,0.76,71.17,68.67
LINEAR_LQP1,84.07,97.63,90.85,0.36,91.33,90.33
LINEAR_SQP,84.07,93.89,88.98,0.73,90.17,87.5
LINEAR_LQP2,84.07,56.56,70.31,0.39,70.83,69.83
OLD_LQP1,92.67,86.33,89.5,0.0,89.5,89.5
OLD_SQP,0.0,100.0,50.0,0.0,50.0,50.0
OLD_LQP2,25.67,86.67,56.17,0.0,56.17,56.17
