Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF_LQP1,83.04,93.41,88.22,0.2,88.5,87.83
RBF_SQP,83.04,89.85,86.44,0.33,87.0,86.0
RBF_LQP2,83.04,31.48,57.26,0.66,58.67,56.17
LINEAR_LQP1,77.52,86.67,82.09,1.5,84.17,79.67
LINEAR_SQP,77.52,49.26,63.39,0.51,64.0,62.83
LINEAR_LQP2,77.52,40.26,58.89,0.84,60.67,57.83
OLD_LQP1,92.33,79.33,85.83,0.0,85.83,85.83
OLD_SQP,41.67,59.67,50.67,0.0,50.67,50.67
OLD_LQP2,37.0,77.0,57.0,0.0,57.0,57.0
