Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,98.89,37.41,68.15,4.37,76.67,61.67
RBF2,100.0,80.74,90.37,2.61,95.0,86.67
RBF3,89.26,53.7,71.48,3.27,76.67,68.33
RBF4,100.0,88.15,94.07,3.34,98.33,88.33
RBF5,96.3,59.63,77.96,3.41,81.67,70.0
RBF6,85.56,71.48,78.52,4.67,88.33,73.33
RBF7,100.0,87.78,93.89,2.76,98.33,90.0
RBF8,97.04,70.0,83.52,3.67,90.0,78.33
RBF9,91.11,80.74,85.93,3.02,91.67,83.33
RBF10,85.93,71.48,78.7,1.11,80.0,76.67
RBF11,85.19,76.67,80.93,4.34,90.0,76.67
RBF12,99.63,92.96,96.3,2.86,100.0,93.33
RBF13,99.63,87.78,93.7,3.41,98.33,88.33
RBF14,87.78,99.26,93.52,2.27,96.67,90.0
RBF15,84.81,96.67,90.74,1.47,93.33,88.33
RBF16,88.52,99.63,94.07,1.21,95.0,91.67
RBF17,77.78,98.52,88.15,2.42,91.67,85.0
RBF18,100.0,95.56,97.78,2.04,100.0,95.0
RBF19,100.0,74.81,87.41,4.18,95.0,81.67
RBF20,93.33,97.41,95.37,1.39,96.67,93.33
RBF21,89.26,96.67,92.96,2.0,96.67,90.0
RBF22,89.26,98.52,93.89,1.44,95.0,91.67
RBF23,80.74,95.93,88.33,1.67,90.0,85.0
RBF24,100.0,94.07,97.04,2.32,100.0,93.33
RBF25,99.63,91.11,95.37,3.31,98.33,90.0
RBF26,88.89,98.89,93.89,2.76,98.33,90.0
RBF27,87.78,97.04,92.41,1.88,95.0,88.33
RBF28,88.89,100.0,94.44,1.18,95.0,91.67
RBF29,78.89,98.52,88.7,3.09,93.33,85.0
RBF30,84.44,96.67,90.56,2.36,93.33,88.33
RBF31,100.0,79.63,89.81,4.37,95.0,85.0
RBF32,97.78,98.15,97.96,1.62,100.0,95.0
RBF33,87.78,97.78,92.78,2.5,96.67,90.0
RBF34,84.44,97.04,90.74,2.22,93.33,86.67
RBF35,89.63,98.15,93.89,0.83,95.0,93.33
RBF36,82.96,99.63,91.3,1.82,93.33,88.33
RBF37,86.67,96.67,91.67,1.44,93.33,90.0
RBF38,86.67,84.44,85.56,3.82,91.67,80.0
RBF39,100.0,85.19,92.59,2.9,96.67,88.33
RBF40,93.33,99.63,96.48,1.76,100.0,95.0
RBF41,85.56,98.15,91.85,2.27,96.67,88.33
RBF42,88.52,99.63,94.07,1.88,96.67,90.0
