Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,92.22,56.3,74.26,3.13,78.33,68.33
RBF2,94.44,95.56,95.0,3.54,96.67,86.67
RBF3,75.56,71.48,73.52,6.32,80.0,60.0
RBF4,99.26,83.33,91.3,3.98,95.0,83.33
RBF5,90.37,87.41,88.89,4.41,95.0,80.0
RBF6,80.0,70.74,75.37,2.0,80.0,73.33
RBF7,98.15,91.11,94.63,1.39,96.67,93.33
RBF8,88.52,90.0,89.26,3.24,95.0,85.0
RBF9,73.33,88.89,81.11,3.54,85.0,73.33
RBF10,61.48,92.96,77.22,5.95,83.33,66.67
RBF11,75.19,84.81,80.0,2.89,85.0,76.67
RBF12,85.56,98.15,91.85,6.59,96.67,81.67
RBF13,84.81,92.59,88.7,3.31,93.33,83.33
RBF14,78.52,95.56,87.04,2.86,90.0,81.67
RBF15,70.0,98.52,84.26,6.72,90.0,68.33
RBF16,76.3,94.44,85.37,4.55,90.0,75.0
RBF17,58.89,94.44,76.67,3.91,80.0,68.33
RBF18,95.19,98.52,96.85,2.82,100.0,91.67
RBF19,92.96,94.81,93.89,4.86,96.67,81.67
RBF20,82.59,98.52,90.56,5.07,95.0,78.33
RBF21,72.59,98.89,85.74,6.83,90.0,68.33
RBF22,79.26,94.81,87.04,3.41,90.0,78.33
RBF23,67.41,97.78,82.59,6.02,86.67,68.33
RBF24,97.41,97.78,97.59,2.22,100.0,93.33
RBF25,85.93,98.89,92.41,4.34,96.67,85.0
RBF26,76.67,98.89,87.78,3.73,93.33,80.0
RBF27,81.85,94.81,88.33,4.17,93.33,78.33
RBF28,79.63,95.93,87.78,3.73,90.0,78.33
RBF29,70.74,94.44,82.59,2.9,85.0,76.67
RBF30,71.11,90.74,80.93,6.19,85.0,65.0
RBF31,93.33,97.78,95.56,3.12,98.33,90.0
RBF32,75.93,99.26,87.59,5.08,95.0,80.0
RBF33,82.22,96.67,89.44,6.12,96.67,76.67
RBF34,84.81,97.78,91.3,3.89,95.0,83.33
RBF35,77.78,96.67,87.22,5.0,91.67,75.0
RBF36,71.85,96.67,84.26,6.35,88.33,68.33
RBF37,77.78,91.11,84.44,7.68,90.0,65.0
RBF38,59.26,95.93,77.59,4.5,81.67,68.33
RBF39,93.7,100.0,96.85,2.82,100.0,91.67
RBF40,89.26,98.89,94.07,5.21,98.33,85.0
RBF41,70.0,98.89,84.44,2.64,86.67,78.33
RBF42,81.11,98.15,89.63,6.96,93.33,71.67
RBF43,78.15,99.26,88.7,2.98,91.67,81.67
RBF44,69.63,97.78,83.7,5.39,88.33,70.0
RBF45,77.78,95.19,86.48,6.21,91.67,71.67
RBF46,68.15,95.93,82.04,5.12,86.67,71.67
RBF47,70.0,91.11,80.56,5.53,86.67,70.0
RBF48,93.33,100.0,96.67,3.44,100.0,90.0
RBF49,77.04,99.63,88.33,4.17,91.67,81.67
RBF50,88.89,97.78,93.33,4.17,98.33,86.67
RBF51,80.74,99.26,90.0,3.91,93.33,81.67
RBF52,82.22,96.67,89.44,3.23,91.67,81.67
RBF53,68.52,98.52,83.52,4.6,86.67,71.67
RBF54,79.26,96.3,87.78,7.07,93.33,70.0
RBF55,69.63,97.78,83.7,5.32,90.0,73.33
RBF56,72.59,93.7,83.15,8.01,90.0,66.67
RBF57,71.11,90.74,80.93,5.47,85.0,68.33
RBF58,83.33,94.81,89.07,5.08,93.33,76.67
RBF59,68.89,90.74,79.81,5.43,90.0,71.67
RBF60,60.74,94.44,77.59,2.65,80.0,71.67
RBF61,82.22,86.67,84.44,4.25,90.0,76.67
RBF62,75.56,89.26,82.41,2.65,85.0,78.33
RBF63,42.22,93.7,67.96,4.23,71.67,60.0
RBF64,62.96,83.7,73.33,7.26,78.33,56.67
RBF65,64.07,88.15,76.11,5.83,83.33,63.33
RBF66,73.7,77.04,75.37,3.51,80.0,68.33
RBF67,71.48,87.04,79.26,9.9,86.67,58.33
RBF68,51.11,65.93,58.52,4.52,68.33,53.33
RBF69,75.93,54.07,65.0,2.04,70.0,63.33
RBF70,65.93,60.74,63.33,2.36,66.67,60.0
