Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
RBF1,100.0,52.59,76.3,1.39,78.33,75.0
RBF2,97.41,94.07,95.74,0.88,96.67,95.0
RBF3,80.37,52.96,66.67,2.36,70.0,61.67
RBF4,96.3,99.63,97.96,1.39,100.0,95.0
RBF5,90.74,65.56,78.15,2.12,81.67,75.0
RBF6,89.63,75.93,82.78,2.5,86.67,80.0
RBF7,97.41,100.0,98.7,0.73,100.0,98.33
RBF8,98.15,88.89,93.52,1.55,96.67,91.67
RBF9,93.7,87.78,90.74,0.88,91.67,90.0
RBF10,85.19,87.78,86.48,2.27,88.33,81.67
RBF11,78.89,80.0,79.44,3.0,83.33,75.0
RBF12,75.19,100.0,87.59,1.69,88.33,83.33
RBF13,94.44,100.0,97.22,2.76,100.0,91.67
RBF14,99.63,92.59,96.11,1.18,98.33,95.0
RBF15,83.33,96.67,90.0,2.04,93.33,86.67
RBF16,80.74,91.11,85.93,1.88,88.33,81.67
RBF17,68.52,85.19,76.85,2.56,80.0,73.33
RBF18,96.67,100.0,98.33,0.83,100.0,96.67
RBF19,93.7,97.41,95.56,1.86,98.33,93.33
RBF20,98.52,98.15,98.33,1.86,100.0,95.0
RBF21,84.44,99.26,91.85,2.12,95.0,88.33
RBF22,82.22,93.33,87.78,2.04,91.67,85.0
RBF23,75.56,90.0,82.78,2.2,86.67,80.0
RBF24,98.52,100.0,99.26,0.88,100.0,98.33
RBF25,88.52,100.0,94.26,0.88,95.0,93.33
RBF26,95.19,98.52,96.85,2.12,100.0,93.33
RBF27,91.11,96.67,93.89,1.67,96.67,91.67
RBF28,81.11,95.19,88.15,2.12,91.67,85.0
RBF29,69.63,92.22,80.93,2.22,85.0,78.33
RBF30,67.41,88.89,78.15,2.56,81.67,73.33
RBF31,96.67,99.26,97.96,0.73,98.33,96.67
RBF32,94.07,100.0,97.04,1.62,98.33,93.33
RBF33,98.52,100.0,99.26,1.21,100.0,96.67
RBF34,83.7,97.41,90.56,2.36,95.0,88.33
RBF35,83.33,92.96,88.15,1.3,90.0,86.67
RBF36,73.7,92.96,83.33,2.2,86.67,80.0
RBF37,70.0,98.89,84.44,3.0,90.0,80.0
RBF38,96.3,72.22,84.26,3.55,90.0,78.33
RBF39,97.04,100.0,98.52,0.56,100.0,98.33
RBF40,86.3,100.0,93.15,1.3,95.0,91.67
RBF41,99.63,99.63,99.63,1.11,100.0,96.67
RBF42,91.48,99.63,95.56,1.18,96.67,93.33
RBF43,86.67,97.04,91.85,2.69,96.67,88.33
RBF44,81.48,91.48,86.48,2.94,91.67,83.33
RBF45,73.7,94.44,84.07,2.65,90.0,80.0
RBF46,98.52,87.78,93.15,2.82,98.33,90.0
RBF47,87.04,90.37,88.7,1.62,90.0,85.0
RBF48,67.41,100.0,83.7,1.11,85.0,81.67
RBF49,90.74,100.0,95.37,2.32,98.33,93.33
RBF50,100.0,100.0,100.0,0.0,100.0,100.0
RBF51,89.63,100.0,94.81,1.3,96.67,91.67
RBF52,84.44,95.93,90.19,1.76,93.33,88.33
RBF53,74.81,96.3,85.56,2.36,90.0,81.67
RBF54,72.59,96.67,84.63,3.2,91.67,80.0
RBF55,96.67,91.11,93.89,1.86,98.33,91.67
RBF56,86.67,91.48,89.07,2.22,93.33,86.67
RBF57,94.81,82.96,88.89,1.86,91.67,86.67
RBF58,88.89,86.67,87.78,2.64,90.0,83.33
RBF59,84.44,85.56,85.0,2.36,90.0,81.67
RBF60,78.52,84.44,81.48,1.3,83.33,80.0
RBF61,81.85,92.96,87.41,1.21,88.33,85.0
RBF62,77.41,84.07,80.74,1.88,85.0,78.33
RBF63,55.93,96.3,76.11,3.12,80.0,70.0
RBF64,68.15,78.15,73.15,2.27,76.67,70.0
RBF65,92.22,66.67,79.44,1.44,81.67,76.67
RBF66,84.44,88.89,86.67,1.44,88.33,83.33
RBF67,88.89,76.3,82.59,2.06,85.0,78.33
RBF68,68.52,56.67,62.59,2.06,65.0,60.0
RBF69,67.04,54.81,60.93,2.9,65.0,56.67
RBF70,65.56,51.11,58.33,1.86,61.67,55.0
RBF71,55.19,49.63,52.41,2.37,55.0,48.33
RBF72,60.0,45.19,52.59,1.88,55.0,50.0
RBF73,88.15,23.7,55.93,3.34,61.67,50.0
RBF74,84.44,25.19,54.81,2.69,60.0,51.67
RBF75,84.07,23.33,53.7,2.17,55.0,50.0
